country_name,country_code,year,women_perc,is_country
Solomon Islands,SLB,2023,48.0267609165709,True
Togo,TGO,2023,48.0398789969448,True
Gambia,GMB,2023,48.2442549296071,True
North Korea,PRK,2023,48.2590004330812,True
Uganda,UGA,2023,48.2857414368039,True
Sierra Leone,SLE,2023,48.3460132253162,True
Israel,ISR,2023,48.3719145475615,True
Namibia,NAM,2023,48.3848659848151,True
DR Congo,COD,2023,48.4121572363674,True
Nigeria,NGA,2023,48.4363330380889,True
France,FRA,2023,48.5065304788837,True
Finland,FIN,2023,48.5290609440681,True
Vietnam,VNM,2023,48.6232443199751,True
Madagascar,MDG,2023,48.6886290440054,True
Eswatini,SWZ,2023,48.7690573802274,True
Central African Rep.,CAF,2023,48.797530053318,True
Kazakhstan,KAZ,2023,48.8272366007844,True
The Bahamas,BHS,2023,48.8465426006302,True
Russia,RUS,2023,48.8625697448913,True
Tanzania,TZA,2023,48.9705856716908,True
Macao,MAC,2023,49.0302515062388,True
Congo,COG,2023,49.0768666932988,True
Malawi,MWI,2023,49.1082405548294,True
Virgin Islands (U.S.),VIR,2023,49.1300327813735,True
Belarus,BLR,2023,49.1304402435175,True
Ghana,GHA,2023,49.1516152612432,True
Benin,BEN,2023,49.3206626420384,True
Lithuania,LTU,2023,49.3343153399276,True
Portugal,PRT,2023,49.4003807674927,True
Angola,AGO,2023,49.4506384736283,True
Estonia,EST,2023,49.5386635672625,True
Sao Tome and Principe,STP,2023,49.5835068721366,True
Latvia,LVA,2023,49.6514008196484,True
Zimbabwe,ZWE,2023,49.8432401695381,True
Azerbaijan,AZE,2023,49.9268457817262,True
Barbados,BRB,2023,49.9773073666384,True
South Sudan,SSD,2023,50.0595520788036,True
Armenia,ARM,2023,50.3047810326312,True
Hong Kong,HKG,2023,50.7864313314305,True
Burundi,BDI,2023,51.6213246980158,True
Mozambique,MOZ,2023,52.4001420069314,True
Turkmenistan,TKM,2023,53.0190415309901,True
Moldova,MDA,2023,54.6708431910393,True
