Search Term,Average Interest,Wikipedia Interest,Year
Espresso - Sabrina Carpenter,1.471698113207547,91.32075471698113,2024
But Daddy I Love Him - Taylor Swift,0.18867924528301888,91.32075471698113,2024
"yes, and? - Ariana Grande",0.0,91.32075471698113,2024
Houdini - Eminem,2.150943396226415,91.32075471698113,2024
Fast Car - Tracy Chapman & Luke Combs,0.0,91.32075471698113,2024
Euphoria - Kendrick Lamar,0.8679245283018868,91.32075471698113,2024
Thick Of It - KSI,1.2452830188679245,91.32075471698113,2024
meet the grahams - Kendrick Lamar,0.24528301886792453,91.32075471698113,2024
Not Like Us - Kendrick Lamar,1.5471698113207548,91.32075471698113,2024
Last Lap Tour,0.05660377358490566,91.32075471698113,2024
Tucker Wetmore Tour,0.0,91.32075471698113,2024
Hit Me Hard and Soft: The Tour,0.0,91.32075471698113,2024
11:11 Tour,0.20754716981132076,91.32075471698113,2024
Hot Girl Summer Tour,0.018867924528301886,91.32075471698113,2024
Outlaw Music Festival Tour,0.0,91.32075471698113,2024
Queens of R&B Tour,0.05660377358490566,91.32075471698113,2024
We Trust You Tour,0.05660377358490566,91.32075471698113,2024
Short n' Sweet Tour,0.0,91.32075471698113,2024
Sweat Tour,0.5660377358490566,91.32075471698113,2024
Tracy Chapman,3.2641509433962264,55.15094339622642,2024
Chappell Roan,18.830188679245282,91.32075471698113,2024
Drake Bell,5.037735849056604,65.41509433962264,2024
Sabrina Carpenter,39.264150943396224,91.32075471698113,2024
Ingrid Andress,1.9811320754716981,48.943396226415096,2024
Diddy,14.358490566037736,14.20754716981132,2024
3-2-1 method workout,0.0,91.32075471698113,2024
2-2-10 method workout,0.0,91.32075471698113,2024
Chair workout,0.03773584905660377,91.32075471698113,2024
Croatian press workout,0.0,91.32075471698113,2024
Wolverine workout,0.0,91.32075471698113,2024
Boat workout,0.0,91.32075471698113,2024
28 day calisthenics workout,0.0,91.32075471698113,2024
LE SSERAFIM workout,0.0,91.32075471698113,2024
Indoor walking workout,0.0,91.32075471698113,2024
Somatic workout,0.33962264150943394,91.32075471698113,2024
Indiana Pacers,3.2830188679245285,91.32075471698113,2024
Dallas Mavericks,14.88679245283019,69.20754716981132,2024
Brandon Aiyuk,5.622641509433962,91.32075471698113,2024
Jordan Chiles,4.716981132075472,79.62264150943396,2024
Harrison Butker,3.5660377358490565,49.45283018867924,2024
Caitlin Clark,21.9811320754717,57.283018867924525,2024
Anthony Edwards,14.924528301886792,91.32075471698113,2024
Scottie Scheffler,6.113207547169812,51.509433962264154,2024
Imane Khelif,3.056603773584906,44.264150943396224,2024
Your Honor,10.679245283018869,91.32075471698113,2024
Nobody Wants This,5.773584905660377,91.32075471698113,2024
Fool Me Once,6.490566037735849,91.32075471698113,2024
Shōgun,0.18867924528301888,91.32075471698113,2024
The Perfect Couple,6.226415094339623,81.54716981132076,2024
Fallout,18.58490566037736,12.90566037735849,2024
Baby Reindeer,10.641509433962264,70.64150943396227,2024
Quiet on Set: The Dark Side of Kids TV,0.07547169811320754,91.32075471698113,2024
Griselda,5.660377358490566,26.566037735849058,2024
Tracy Chapman grammys,0.41509433962264153,91.32075471698113,2024
Gojira Olympics,0.3018867924528302,91.32075471698113,2024
Katy Perry VMA,0.07547169811320754,91.32075471698113,2024
Usher Super Bowl,2.358490566037736,91.32075471698113,2024
Celine Dion olympics,1.150943396226415,91.32075471698113,2024
Miley Cyrus Grammys,1.2830188679245282,91.32075471698113,2024
Toby Keith last performance,0.05660377358490566,91.32075471698113,2024
Ryan Gosling Oscars,0.39622641509433965,91.32075471698113,2024
Raygun full performance,0.22641509433962265,91.32075471698113,2024
Alien: Romulus,10.471698113207546,90.47169811320755,2024
Terrifier 3,7.264150943396227,76.62264150943396,2024
Despicable Me 4,11.79245283018868,80.16981132075472,2024
Deadpool & Wolverine,2.1132075471698113,91.32075471698113,2024
Twisters,11.622641509433961,42.54716981132076,2024
Dune: Part Two,0.8490566037735849,91.32075471698113,2024
Saltburn,9.924528301886792,53.22641509433962,2024
It Ends with Us,10.754716981132075,37.735849056603776,2024
Beetlejuice Beetlejuice,13.69811320754717,27.0188679245283,2024
Inside Out 2,10.754716981132075,22.735849056603772,2024
Brad Pitt and Angelina Jolie,0.3018867924528302,91.32075471698113,2024
Common and Jennifer Hudson,0.5660377358490566,91.32075471698113,2024
Kevin Costner and Jewel,0.20754716981132076,91.32075471698113,2024
Kourtney Kardashian and Travis Barker,0.24528301886792453,91.32075471698113,2024
Taylor Swift and Travis Kelce,3.9245283018867925,91.32075471698113,2024
Abby and Brittany Hensel,0.6037735849056604,91.32075471698113,2024
Ben Affleck and Jennifer Lopez,0.7169811320754716,91.32075471698113,2024
Vanna White and Ryan Seacrest,0.18867924528301888,91.50943396226415,2024
Justin and Hailey Bieber,1.0377358490566038,91.50943396226415,2024
Blake Shelton and Gwen Stefani,0.9433962264150944,91.50943396226415,2024
Jodie Foster,4.509433962264151,91.50943396226415,2024
Ella Purnell,2.7358490566037736,91.50943396226415,2024
Adam Brody,2.9622641509433962,91.50943396226415,2024
Shane Gillis,9.679245283018869,91.50943396226415,2024
Glen Powell,10.150943396226415,91.50943396226415,2024
Katt Williams,6.943396226415095,52.45283018867924,2024
Hurricane Helene,3.4339622641509435,12.943396226415095,2024
Heat advisory,12.056603773584905,82.83018867924528,2024
House election results,3.981132075471698,23.962264150943398,2024
Trump shot,3.943396226415094,20.32075471698113,2024
Project 2025,12.679245283018869,41.056603773584904,2024
Hurricane Milton,1.9811320754716981,4.037735849056604,2024
Copa América,6.0,91.47169811320755,2024
Jill Stein,2.6226415094339623,35.75471698113208,2024
Tim Walz,4.320754716981132,20.132075471698112,2024
"Catherine, Princess of Wales",0.018867924528301886,91.32075471698113,2024
JD Vance,4.9245283018867925,11.716981132075471,2024
Maggie Smith,3.2830188679245285,45.698113207547166,2024
Toby Keith,2.981132075471698,10.754716981132075,2024
Joe Biden,10.622641509433961,22.28301886792453,2024
Usher,4.7924528301886795,13.264150943396226,2024
Election,3.0754716981132075,1.0,2024
Mike Tyson,3.7358490566037736,5.0,2024
Hugh Jackman,8.88679245283019,91.56603773584905,2024
Chappell Roan VMA,0.07547169811320754,91.37735849056604,2024
Barry Keoghan,8.09433962264151,91.37735849056604,2024
Jeremy Allen White,6.169811320754717,91.37735849056604,2024
Jacob Elordi,6.415094339622642,91.37735849056604,2024
Paralympics,3.3207547169811322,5.056603773584905,2024
Richard Simmons,4.716981132075472,59.528301886792455,2024
Carl Weathers,3.150943396226415,50.490566037735846,2024
Shannen Doherty,2.660377358490566,30.528301886792452,2024
Thomas Matthew Crooks,1.9811320754716981,31.58490566037736,2024
Rich Homie Quan,2.5660377358490565,31.150943396226417,2024
O. J. Simpson,0.07547169811320754,91.37735849056604,2024
Liam Payne,2.547169811320755,10.018867924528301,2024
Olympic medal count,4.0,18.339622641509433,2024
Hurricane Milton tracker,1.9056603773584906,11.69811320754717,2024
"Spare - Prince Harry, Duke of Sussex",0.0,91.41509433962264,2023
The Ritual - Shantel Tessier,0.0,91.41509433962264,2023
The Ballad of Songbirds and Snakes - Suzanne Collins,0.0,91.41509433962264,2023
Happy Place - Emily Henry,0.2641509433962264,91.41509433962264,2023
Fourth Wing - Rebecca Yarros,0.018867924528301886,91.41509433962264,2023
My Fault - Mercedes Ron,0.0,91.41509433962264,2023
Title 42 explained,0.018867924528301886,91.41509433962264,2023
NBA In-Season Tournament explained,0.0,91.41509433962264,2023
Loki ending explained,0.11320754716981132,91.41509433962264,2023
White Noise explained,0.03773584905660377,91.41509433962264,2023
Beef explained,0.07547169811320754,91.41509433962264,2023
Israel Palestine conflict explained,0.07547169811320754,91.41509433962264,2023
Reptile explained,0.1509433962264151,91.41509433962264,2023
Silo explained,0.1320754716981132,91.41509433962264,2023
No One Will Save You explained,0.11320754716981132,91.41509433962264,2023
The Menu explained,0.24528301886792453,91.41509433962264,2023
Canada wildfires,3.0943396226415096,49.81132075471698,2023
Idaho murder trial,0.0,91.41509433962264,2023
Maui fire,3.452830188679245,39.113207547169814,2023
Nashville shooting,2.018867924528302,21.849056603773583,2023
Maine shooting,2.0943396226415096,28.81132075471698,2023
Hurricane Lee,3.5849056603773586,38.339622641509436,2023
Hurricane Idalia,1.9433962264150944,17.60377358490566,2023
Hurricane Hilary,3.207547169811321,27.41509433962264,2023
Titanic submarine,2.018867924528302,18.037735849056602,2023
War in Israel and Gaza,0.07547169811320754,91.41509433962264,2023
Josh Hutcherson,4.622641509433962,91.41509433962264,2023
Ke Huy Quan,2.547169811320755,91.41509433962264,2023
Russell Brand,3.1320754716981134,91.41509433962264,2023
Sophie Turner,4.830188679245283,91.41509433962264,2023
Jonathan Majors,9.962264150943396,91.41509433962264,2023
Pedro Pascal,15.150943396226415,91.41509433962264,2023
Eagles vs 49ers,3.2264150943396226,67.39622641509433,2023
Colorado vs Oregon,2.452830188679245,91.41509433962264,2023
TCU vs Georgia,2.1320754716981134,66.56603773584905,2023
Lakers vs Grizzlies,2.8867924528301887,91.41509433962264,2023
Bills vs Bengals,3.547169811320755,79.22641509433963,2023
Jake Paul vs Nate Diaz,2.943396226415094,52.094339622641506,2023
Heat vs Nuggets,3.7735849056603774,61.39622641509434,2023
Jake Paul vs Tommy Fury,2.5283018867924527,59.41509433962264,2023
Lakers vs Nuggets,4.132075471698113,69.41509433962264,2023
Lakers vs Warriors,3.2452830188679247,35.735849056603776,2023
Sexyy Red,1.4150943396226414,91.41509433962264,2023
Kim Petras,3.3773584905660377,91.41509433962264,2023
Kellie Pickler,2.3773584905660377,91.41509433962264,2023
Matt Healy,1.3773584905660377,91.41509433962264,2023
Peso Pluma,21.0,91.41509433962264,2023
Oliver Anthony,5.132075471698113,91.41509433962264,2023
Ice Spice,25.62264150943396,91.41509433962264,2023
Cocaine Bear,13.39622641509434,90.13207547169812,2023
Five Nights at Freddy's,11.452830188679245,66.47169811320755,2023
John Wick: Chapter 4,1.3018867924528301,91.41509433962264,2023
Creed III,0.5094339622641509,91.41509433962264,2023
The Super Mario Bros. Movie,1.9433962264150944,91.41509433962264,2023
Guardians of the Galaxy Vol. 3,1.5849056603773586,91.41509433962264,2023
Sound of Freedom,7.9245283018867925,24.528301886792452,2023
Oppenheimer,9.735849056603774,15.377358490566039,2023
Barbie,13.30188679245283,7.811320754716981,2023
Jon Jones,6.773584905660377,82.15094339622641,2023
Mac McClung,2.2264150943396226,91.41509433962264,2023
Will Levis,4.754716981132075,88.77358490566037,2023
Wander Franco,3.7358490566037736,91.41509433962264,2023
One two buckle my shoe,0.41509433962264153,91.41509433962264,2023
The waffle house new host,0.18867924528301888,91.41509433962264,2023
Smurf cat,2.358490566037736,91.41509433962264,2023
Folding chair,2.9622641509433962,91.41509433962264,2023
Grimace shake,6.90566037735849,89.86792452830188,2023
Bob Barker,5.90566037735849,79.41509433962264,2023
Suzanne Somers,2.2452830188679247,37.77358490566038,2023
Ken Block,2.339622641509434,26.30188679245283,2023
Tina Turner,3.2452830188679247,14.132075471698114,2023
Matthew Perry,2.2830188679245285,5.7924528301886795,2023
vampire - Olivia Rodrigo,1.3773584905660377,91.41509433962264,2023
Miles Teller,8.169811320754716,90.22641509433963,2022
Ezra Miller,9.056603773584905,90.22641509433963,2022
Joseph Quinn,5.584905660377358,90.22641509433963,2022
Prince Philip,4.90566037735849,23.962264150943398,2021
Smashed potatoes,1.3962264150943395,90.88679245283019,2021
Gigi Hadid pasta,0.8867924528301887,90.88679245283019,2021
Cicada,8.622641509433961,90.88679245283019,2021
Squid Game cookie,0.3018867924528302,90.88679245283019,2021
Deshaun Watson,16.90566037735849,90.88679245283019,2021
Sha'Carri Richardson,5.6415094339622645,89.79245283018868,2021
Harry Potter,49.37735849056604,39.490566037735846,2021
Sage green,6.69811320754717,90.88679245283019,2021
"Easy on Me, Adele",0.0,90.88679245283019,2021
Bernie Sanders' mittens,0.0,90.88679245283019,2021
This and yap,0.0,91.37735849056604,2024
English or Spanish,2.849056603773585,91.37735849056604,2024
Demure,5.0754716981132075,29.735849056603772,2024
Stimulus checks,11.377358490566039,15.056603773584905,2020
Unemployment,41.094339622641506,5.69811320754717,2020
August Alsina,6.735849056603773,78.15094339622641,2020
Activewear,2.981132075471698,90.88679245283019,2021
Phoenix Suns,16.67924528301887,90.88679245283019,2021
Atlanta Braves,15.547169811320755,38.24528301886792,2021
Dune,10.679245283018869,22.37735849056604,2021
Shang-Chi and the Legend of the Ten Rings,1.7735849056603774,90.88679245283019,2021
Nicole Curtis,2.1320754716981134,87.69811320754717,2015
Eddie Redmayne,2.188679245283019,87.69811320754717,2015
That's Racist,0.0,87.69811320754717,2015
Ben Zobrist,0.4339622641509434,87.69811320754717,2015
Triceps workout,0.0,85.49056603773585,2016
Shoulder exercises,1.0377358490566038,85.49056603773585,2016
Battlefield 1,16.88679245283019,82.71698113207547,2016
Guacamole,7.283018867924528,85.49056603773585,2016
Brock Osweiler,2.339622641509434,85.49056603773585,2016
Rachel McAdams,3.0377358490566038,85.49056603773585,2016
Tottenham Hotspur F.C.,0.0,85.49056603773585,2016
Tonga Flag Bearer,0.1320754716981132,85.49056603773585,2016
Orlando Shooting,2.0943396226415096,14.79245283018868,2016
Linkin Park,4.169811320754717,24.0188679245283,2017
13 Reasons Why,9.660377358490566,26.0,2017
Virtual EDC rave,0.07547169811320754,83.52830188679245,2020
Virtual classroom,1.4150943396226414,83.52830188679245,2020
Virtual tours,1.4339622641509433,83.52830188679245,2020
Virtual marriage,0.03773584905660377,83.52830188679245,2020
Virtual baby shower,0.6415094339622641,83.52830188679245,2020
Joe Biden,13.169811320754716,11.358490566037736,2020
Kamala Harris,5.7924528301886795,10.641509433962264,2020
Boris Johnson,3.452830188679245,39.43396226415094,2020
Pete Buttigieg,8.773584905660377,83.52830188679245,2020
Mike Bloomberg,7.150943396226415,83.52830188679245,2020
Andrew Cuomo,10.679245283018869,83.52830188679245,2020
Chris Christie,3.6037735849056602,83.52830188679245,2020
Andrew Yang,5.849056603773585,83.52830188679245,2020
Mitt Romney,5.264150943396227,83.52830188679245,2020
Ryan Newman,1.9622641509433962,12.566037735849056,2020
Tom Brady,10.30188679245283,26.9811320754717,2020
Bubba Wallace,2.9245283018867925,37.528301886792455,2020
Mike Tyson,6.7924528301886795,20.849056603773583,2020
Rudy Gobert,2.69811320754717,66.35849056603773,2020
Drew Brees,6.867924528301887,56.16981132075472,2020
Tyson Fury,4.150943396226415,61.62264150943396,2020
Nate Robinson,2.6792452830188678,35.528301886792455,2020
Delonte West,3.358490566037736,83.52830188679245,2020
Parasite,7.509433962264151,26.41509433962264,2020
1917,17.07547169811321,66.69811320754717,2020
Harley Quinn: Birds of Prey,1.0754716981132075,83.52830188679245,2020
Little Women,11.88679245283019,59.60377358490566,2020
Just Mercy,9.433962264150944,83.52830188679245,2020
Bad Boys 3,5.245283018867925,83.52830188679245,2020
Sonic the Hedgehog,12.226415094339623,83.52830188679245,2020
Contagion,8.339622641509434,83.52830188679245,2020
Fantasy Island,6.150943396226415,83.52830188679245,2020
Tom Hanks,7.150943396226415,21.69811320754717,2020
Chris D'Elia,1.2830188679245282,83.52830188679245,2020
Jada Pinkett Smith,4.415094339622642,83.52830188679245,2020
Timothée Chalamet,0.8113207547169812,83.52830188679245,2020
Ricky Gervais,3.509433962264151,55.0,2020
Amber Heard,9.415094339622641,83.52830188679245,2020
Danny Masterson,2.830188679245283,83.52830188679245,2020
Ryan Dorsey,1.3396226415094339,83.52830188679245,2020
Lea Michele,2.9056603773584904,83.52830188679245,2020
Among Us,20.41509433962264,28.339622641509433,2020
Fall Guys: Ultimate Knockout,0.05660377358490566,83.52830188679245,2020
Valorant,22.60377358490566,83.52830188679245,2020
Genshin Impact,12.79245283018868,49.18867924528302,2020
Ghost of Tsushima,10.132075471698114,83.52830188679245,2020
Animal Crossing,24.132075471698112,13.245283018867925,2020
Assassin's Creed Valhalla,8.132075471698114,83.52830188679245,2020
The Last of Us 2,7.566037735849057,83.52830188679245,2020
Madden NFL 21,0.5849056603773585,83.52830188679245,2020
Jackbox,13.264150943396226,83.52830188679245,2020
Kim Jong Un,4.188679245283019,12.641509433962264,2020
Jacob Blake,2.4716981132075473,14.88679245283019,2020
Shakira,3.207547169811321,14.11320754716981,2020
Vanessa Bryant,3.943396226415094,21.41509433962264,2020
WAP,12.90566037735849,35.77358490566038,2020
Entanglement,3.0754716981132075,83.52830188679245,2020
Antebellum,9.60377358490566,83.52830188679245,2020
Pandemic,23.943396226415093,25.150943396226417,2020
Asymptomatic,10.018867924528301,83.52830188679245,2020
Coronavirus,16.0,1.0,2020
Iran,4.716981132075472,7.6415094339622645,2020
Hurricane Laura,2.0754716981132075,13.018867924528301,2020
Stock market,23.18867924528302,21.41509433962264,2020
Murder hornet,3.150943396226415,39.9622641509434,2020
Australia fires,3.6037735849056602,43.22641509433962,2020
Kansas City Chiefs,9.18867924528302,38.679245283018865,2020
Los Angeles Clippers,0.6415094339622641,83.52830188679245,2020
Washington Football Team,7.0,83.52830188679245,2020
Tampa Bay Buccaneers,8.584905660377359,83.52830188679245,2020
San Francisco 49ers,6.660377358490566,83.52830188679245,2020
Kobe Bryant,2.5283018867924527,1.9811320754716981,2020
Naya Rivera,4.2075471698113205,15.528301886792454,2020
George Floyd,5.2075471698113205,7.566037735849057,2020
Ruth Bader Ginsburg,4.415094339622642,28.0188679245283,2020
Eddie Van Halen,2.3207547169811322,19.20754716981132,2020
King Von,5.113207547169812,30.09433962264151,2020
Kelly Preston,2.547169811320755,26.867924528301888,2020
Pop Smoke,8.056603773584905,29.32075471698113,2020
Ahmaud Arbery,3.547169811320755,41.716981132075475,2020
The Box,71.15094339622641,83.52830188679245,2020
Godzilla,17.132075471698112,83.52830188679245,2020
GOOBA,1.7169811320754718,83.52830188679245,2020
Break My Stride,1.3962264150943395,83.52830188679245,2020
This Is For Rachel,1.849056603773585,84.54716981132076,2020
Say So,8.867924528301886,84.54716981132076,2020
Yummy,11.641509433962264,84.54716981132076,2020
Heather,37.509433962264154,84.54716981132076,2020
ROXANNE,6.09433962264151,84.54716981132076,2020
Coronavirus update,12.943396226415095,9.339622641509434,2020
Coronavirus symptoms,9.849056603773585,10.018867924528301,2020
Zoom,31.0188679245283,8.132075471698114,2020
Who is winning the election,2.018867924528302,6.39622641509434,2020
PlayStation 5,13.39622641509434,40.0188679245283,2020
Doja Cat,15.452830188679245,84.54716981132076,2020
Grimes,11.716981132075471,73.41509433962264,2020
Van Halen,3.3962264150943398,15.226415094339623,2020
Tamar Braxton,3.0943396226415096,83.52830188679245,2020
Quando Rondo,3.1132075471698113,83.52830188679245,2020
Tory Lanez,7.811320754716981,83.52830188679245,2020
Kim and Kanye,3.8867924528301887,90.88679245283019,2021
Bill and Melinda Gates,1.0188679245283019,90.88679245283019,2021
Kim Kardashian and Pete Davidson,0.8490566037735849,90.88679245283019,2021
Kanye and Jeffree Star,1.0566037735849056,90.88679245283019,2021
Taylor Swift and Jake Gyllenhaal,0.5471698113207547,90.88679245283019,2021
JLo and A-Rod,0.0,90.88679245283019,2021
Tom Holland and Zendaya,2.641509433962264,90.88679245283019,2021
Jennifer Aniston and David Schwimmer,0.24528301886792453,90.88679245283019,2021
Ben Affleck and JLo,1.2830188679245282,90.88679245283019,2021
Selena Gomez and Chris Evans,0.4716981132075472,90.88679245283019,2021
Hand soap,4.622641509433962,90.88679245283019,2021
Leather jacket,11.075471698113208,90.88679245283019,2021
Denim,28.754716981132077,90.88679245283019,2021
Sandals,55.075471698113205,65.77358490566037,2021
Cleaning products,2.943396226415094,90.88679245283019,2021
Engagement rings,15.433962264150944,90.88679245283019,2021
Swimwear,13.60377358490566,90.88679245283019,2021
Razors,5.830188679245283,90.88679245283019,2021
Pens,21.0,90.88679245283019,2021
Brooklyn Nets,11.50943396226415,90.88679245283019,2021
Black Widow,12.49056603773585,29.132075471698112,2021
Eternals,10.11320754716981,36.528301886792455,2021
Halloween Kills,6.3584905660377355,48.37735849056604,2021
Mortal Kombat,10.056603773584905,23.30188679245283,2021
Godzilla vs. Kong,1.0377358490566038,90.88679245283019,2021
The Suicide Squad,8.264150943396226,90.88679245283019,2021
Space Jam,9.226415094339623,32.37735849056604,2021
In the Heights,11.0,68.9245283018868,2021
AMC Stock,15.169811320754716,18.60377358490566,2021
Stimulus Check,15.20754716981132,4.6415094339622645,2021
Georgia Senate Race,2.018867924528302,14.50943396226415,2021
GME,10.283018867924529,11.452830188679245,2021
Dogecoin,18.264150943396228,17.32075471698113,2021
Hurricane Ida,2.5660377358490565,14.20754716981132,2021
Kyle Rittenhouse Verdict,1.9811320754716981,29.09433962264151,2021
Ethereum Price,37.339622641509436,90.88679245283019,2021
NBA,41.16981132075472,5.30188679245283,2021
DMX,2.7735849056603774,5.169811320754717,2021
Gabby Petito,3.30188679245283,7.056603773584905,2021
Kyle Rittenhouse,3.0943396226415096,8.075471698113208,2021
