Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
8/4/2024,Boxing,Men's 51kg - Semifinal,,,,,David de PINA,CPV,,
8/4/2024,Boxing,Men's 63.5kg - Semifinal,,,,,Lasha GURULI,GEO,,
8/4/2024,Boxing,Men's 80kg - Semifinal,,,,,Arlen LOPEZ CARDONA,CUB,,
8/4/2024,Boxing,Men's 92kg - Semifinal,,,,,Davlat BOLTAEV,TJK,,
8/4/2024,Swimming,Women's 50m Freestyle Final,Sarah SJOESTROEM,SWE,Meg HARRIS,AUS,ZHANG Yufei,CHN,,
8/4/2024,Swimming,Men's 1500m Freestyle Final,Bobby FINKE,USA,Gregorio PALTRINIERI,ITA,Daniel WIFFEN,IRL,,
8/4/2024,Fencing,Men's Foil Team Bronze Medal Match,,,,,France,FRA,,
8/4/2024,Fencing,Men's Foil Team Gold Medal Match,Japan,JPN,Italy,ITA,,,,
8/4/2024,Swimming,Men's 4 x 100m Medley Relay Final,China,CHN,United States,USA,France,FRA,,
8/4/2024,Swimming,Women's 4 x 100m Medley Relay Final,United States,USA,Australia,AUS,China,CHN,,
8/4/2024,Athletics,Women's High Jump Final,Yaroslava MAHUCHIKH,UKR,Nicola OLYSLAGERS,AUS,Iryna GERASHCHENKO,UKR,,
8/4/2024,Athletics,Women's High Jump Final,,,,,Eleanor PATTERSON,AUS,,
8/4/2024,Athletics,Men's Hammer Throw Final,Ethan KATZBERG,CAN,Bence HALASZ,HUN,Mykhaylo KOKHAN,UKR,,
8/4/2024,Athletics,Men's 100m Final,Noah LYLES,USA,Kishane THOMPSON,JAM,Fred KERLEY,USA,,
8/5/2024,Triathlon,Mixed Relay,Germany,GER,United States,USA,Great Britain,GBR,,
8/5/2024,Shooting,25m Rapid Fire Pistol Men's Final,LI Yuehong,CHN,CHO Yeongjae,KOR,WANG Xinjie,CHN,,
8/5/2024,Badminton,Women's Singles Gold Medal Match,AN Se Young,KOR,HE Bing Jiao,CHN,,,,
8/5/2024,Badminton,Women's Singles Bronze Medal Match,,,,,Gregoria Mariska Tunjung ,INA,,
8/5/2024,Artistic Gymnastics,Men's Parallel Bars Final,ZOU Jingyuan,CHN,Illia KOVTUN,UKR,OKA Shinnosuke,JPN,,
8/5/2024,Artistic Gymnastics,Women's Balance Beam Final,Alice D'AMATO,ITA,ZHOU Yaqin,CHN,Manila ESPOSITO,ITA,,
8/5/2024,Artistic Gymnastics,Men's Horizontal Bar Final,OKA Shinnosuke,JPN,Angel BARAJAS,COL,ZHANG Boheng,CHN,,
8/5/2024,Artistic Gymnastics,Men's Horizontal Bar Final,,,,,TANG Chia-Hung,TPE,,
8/5/2024,Artistic Gymnastics,Women's Floor Exercise Final,Rebeca ANDRADE,BRA,Simone BILES,USA,Ana BǍRBOSU,ROU,,
8/5/2024,Badminton,Men's Singles Bronze Medal Match,,,,,Zii Jia LEE,MAS,,
8/5/2024,Badminton,Men's Singles Gold Medal Match,Viktor AXELSEN,DEN,Kunlavut VITIDSARN,THA,",ROU",,,
8/5/2024,Shooting,Skeet Mixed Team Bronze Medal Match,,,,,China,CHN,,
8/5/2024,Shooting,Skeet Mixed Team Gold Medal Match,Italy 1,ITA,United States 1,USA,,,,
8/5/2024,Canoe Slalom,Women's Kayak Cross Final,Noemie FOX,AUS,Angele HUG,FRA,Kimberley WOODS,GBR,,
8/5/2024,Canoe Slalom,Men's Kayak Cross Final,Finn BUTCHER,NZL,Joseph CLARKE,GBR,Noah HEGGE,GER,,
8/5/2024,Athletics,Men's Pole Vault Final,Armand DUPLANTIS,SWE,Sam KENDRICKS,USA,Emmanouil KARALIS,GRE,,
8/5/2024,Cycling Track,"Women's Team Sprint, Finals - For Bronze",,,,,Germany,GER,,
8/5/2024,Cycling Track,"Women's Team Sprint, Finals - For Gold",Great Britain,GBR,New Zealand,NZL,,,,
8/5/2024,Athletics,Women's Discus Throw Final,Valarie ALLMAN,USA,FENG Bin,CHN,Sandra ELKASEVIC,CRO,,
8/5/2024,3x3 Basketball,Women's Bronze Medal Game,,,,,United States,USA,,
8/5/2024,Athletics,Women's 5000m Final,Beatrice CHEBET,KEN,Faith KIPYEGON,KEN,Sifan HASSAN,NED,,
8/5/2024,3x3 Basketball,Men's Bronze Medal Game,,,,,Lithuania,LTU,,
8/5/2024,Athletics,Women's 800m Final,Keely HODGKINSON,GBR,Tsige DUGUMA,ETH,Mary MORAA,KEN,,
8/5/2024,3x3 Basketball,Women's Gold Medal Game,Germany,GER,Spain,ESP,,,,
8/5/2024,3x3 Basketball,Men's Gold Medal Game,Netherlands,NED,France,FRA,,,,
8/6/2024,Surfing,Men's Bronze Medal Match,,,,,Gabriel MEDINA,BRA,,
8/5/2024,Surfing,Women's Bronze Medal Match,,,,,Johanne DEFAY,FRA,,
8/5/2024,Surfing,Men's Gold Medal Match,Kauli VAAST,FRA,Jack ROBINSON,AUS,,,,
8/5/2024,Surfing,Women's Gold Medal Match,Caroline MARKS,USA,Tatiana WESTON-WEBB,BRA,,,,
8/6/2024,Equestrian,Jumping Individual Final Jump-Off,Christian KUKUK,GER,Steve GUERDAT,SUI,Maikel van der VLEUTEN,NED,,
8/6/2024,Diving,Women's 10m Platform Final,QUAN Hongchan,CHN,CHEN Yuxi,CHN,KIM Mi Rae,PRK,,
8/6/2024,Skateboarding,Women's Park Final,Arisa TREW,AUS,HIRAKI Cocona,JPN,Sky BROWN,GBR,,
8/6/2024,Wrestling,Men's Greco-Roman 60kg Bronze Medal Match #93,,,,,Zholaman SHARSHENBEKOV,KGZ,,
8/6/2024,Wrestling,Men's Greco-Roman 60kg Bronze Medal Match #94,,,,,RI Se Ung,PRK,,
8/6/2024,Wrestling,Men's Greco-Roman 60kg Final,FUMITA Kenichiro,JPN,CAO Liguo,CHN,,,,
8/6/2024,Wrestling,Men's Greco-Roman 130kg Bronze Medal Match #96,,,,,Amin MIRZAZADEH,IRI,,
8/6/2024,Wrestling,Men's Greco-Roman 130kg Bronze Medal Match #97,,,,,MENG Lingzhe,CHN,,
8/6/2024,Wrestling,Men's Greco-Roman 130kg Final,Mijain LOPEZ NUNEZ,CUB,Yasmani ACOSTA FERNANDEZ,CHI,,,,
8/6/2024,Wrestling,Women's Freestyle 68kg Bronze Medal Match #99,,,,,Buse CAVUSOGLU TOSUN,TUR,,
8/6/2024,Wrestling,Women's Freestyle 68kg Bronze Medal Match #100,,,,,OZAKI Nonoka,JPN,,
8/6/2024,Wrestling,Women's Freestyle 68kg Final,Amit ELOR,USA,Meerim ZHUMANAZAROVA,KGZ,,,,
8/6/2024,Athletics,Women's Hammer Throw Final,Camryn ROGERS,CAN,Annette Nneka ECHIKUNWOKE,USA,ZHAO Jie,CHN,,
8/6/2024,Cycling Track,"Men's Team Sprint, Finals - For Bronze",,,,,Australia,AUS,,
8/6/2024,Cycling Track,"Men's Team Sprint, Finals - For Gold",Netherlands,NED,Great Britain,GBR,,,,
8/6/2024,Athletics,Men's Long Jump Final,Miltiadis TENTOGLOU,GRE,Wayne PINNOCK,JAM,Mattia FURLANI,ITA,,
8/6/2024,Athletics,Men's 1500m Final,Cole HOCKER,USA,Josh KERR,GBR,Yared NUGUSE,USA,,
8/6/2024,Athletics,Women's 3000m Steeplechase Final,Winfred YAVI,BRN,Peruth CHEMUTAI,UGA,Faith CHEROTICH,KEN,,
8/6/2024,Boxing,Men's 71kg - Semifinal #209,,,,,Omari JONES,USA,,
8/6/2024,Boxing,Men's 71kg - Semifinal #210,,,,,Lewis RICHARDSON,GBR,,
8/6/2024,Athletics,Women's 200m Final,Gabrielle THOMAS,USA,Julien ALFRED,LCA,Brittany BROWN,USA,,
8/6/2024,Boxing,Women's 50kg - Semifinal #211,,,,,Nazym KYZAIBAY,KAZ,,
8/6/2024,Boxing,Women's 50kg - Semifinal #212,,,,,Aira VILLEGAS,PHI,,
8/6/2024,Boxing,Women's 66kg - Semifinal #213,,,,,Janjaem SUWANNAPHENG,THA,,
8/6/2024,Boxing,Women's 66kg - Semifinal #214,,,,,CHEN Nien Chin,TPE,,
8/6/2024,Boxing,Women's 60kg - Final #215,Kellie HARRINGTON,IRL,YANG Wenlu,CHN,,,,
8/7/2024,Athletics,Marathon Race Walk Relay Mixed,MARTIN A/PEREZ M,ESP,PINTADO B/MOREJON G,ECU,COWLEY R/MONTAG J,AUS,,
8/7/2024,Sailing,Women's Dinghy Medal Race,Marit BOUWMEESTER,NED,Anne-Marie RINDOM,DEN,Line Flem HOEST,NOR,,
8/7/2024,Sport Climbing,"Women's Speed, Final",Aleksandra MIROSLAW,POL,DENG Lijuan,CHN,Aleksandra KALUCKA,POL,,
8/7/2024,Sailing,Men's Dinghy Medal Race,Matt WEARN,AUS,Pavlos KONTIDES,CYP,Stefano PESCHIERA,PER,,
8/7/2024,Weightlifting,Men's 61kg,LI Fabin,CHN,Theerapong SILACHAI,THA,Hampton MORRIS,USA,,
8/7/2024,Skateboarding,Men's Park Final,Keegan PALMER,AUS,Tom SCHAAR,USA,Augusto AKIO,BRA,,
8/7/2024,Athletics,Women's Pole Vault Final,Nina KENNEDY,AUS,Katie MOON,USA,Alysha NEWMAN,CAN,,
8/7/2024,Cycling Track,"Men's Team Pursuit, Finals - For Bronze",,,,,Italy,ITA,,
8/7/2024,Cycling Track,"Men's Team Pursuit, Finals - For Gold",Australia,AUS,Great Britain,GBR,,,,
8/7/2024,Wrestling,Men's Greco-Roman 77kg Bronze Medal Match #150,,,,,Malkhas AMOYAN,ARM,,
8/7/2024,Wrestling,Men's Greco-Roman 77kg Bronze Medal Match #151,,,,,Akzhol MAKHMUDOV,KGZ,,
8/7/2024,Wrestling,Men's Greco-Roman 77kg Final,KUSAKA Nao,JPN,Demeu ZHADRAYEV,KAZ,,,,
8/7/2024,Wrestling,Men's Greco-Roman 97kg Bronze Medal Match #153,,,,,Gabriel Alejandro ROSILLO KINDELAN,CUB,,
8/7/2024,Wrestling,Men's Greco-Roman 97kg Bronze Medal Match #154,,,,,Uzur DZHUZUPBEKOV,KGZ,,
8/7/2024,Wrestling,Men's Greco-Roman 97kg Final,Mohammadhadi SARAVI,IRI,Artur ALEKSANYAN,ARM,,,,
8/7/2024,Wrestling,Women's Freestyle 50kg Bronze Medal Match #156,,,,,SUSAKI Yui,JPN,,
8/7/2024,Wrestling,Women's Freestyle 50kg Bronze Medal Match #157,,,,,FENG Ziqi,CHN,,
8/7/2024,Wrestling,Women's Freestyle 50kg Final,Sarah Ann HILDEBRANDT,USA,Yusneylis GUZMAN LOPEZ,CUB,,,,
8/7/2024,Cycling Track,"Women's Team Pursuit, Finals",United States,USA,New Zealand,NZL,Great Britain,GBR,,
8/7/2024,Artistic Swimming,Team Acrobatic Routine,China,CHN,United States,USA,Spain,ESP,,
8/7/2024,Weightlifting,Women's 49kg,HOU Zhihui,CHN,Mihaela Valentina CAMBEI,ROU,Surodchana KHAMBAO,THA,,
8/7/2024,Athletics,Men's Discus Throw Final,Roje STONA,JAM,Mykolas ALEKNA,LTU,Matthew DENNY,AUS,,
8/7/2024,Taekwondo,Women -49kg Bronze Medal Contests #136,,,,,Mobina NEMATZADEH,IRI,,
8/7/2024,Taekwondo,Women -49kg Bronze Medal Contests #138,,,,,Lena STOJKOVIC,CRO,,
8/7/2024,Taekwondo,Women -49kg Gold Medal Contest #140,Panipak WONGPATTANAKIT,THA,GUO Qing,CHN,,,,
8/7/2024,Taekwondo,Men -58kg Bronze Medal Contests #137,,,,,Cyrian RAVET,FRA,,
8/7/2024,Taekwondo,Men -58kg Bronze Medal Contests #139,,,,,Mohamed Khalil JENDOUBI,TUN,,
8/7/2024,Taekwondo,Men -58kg Gold Medal Contest #141,PARK Taejoon,KOR,Gashim MAGOMEDOV,AZE,,,,
8/7/2024,Athletics,Men's 400m Final,Quincy HALL,USA,Matthew HUDSON-SMITH,GBR,Muzala SAMUKONGA,ZAM,,
8/7/2024,Athletics,Men's 3000m Steeplechase Final,Soufiane EL BAKKALI,MAR,Kenneth ROOKS,USA,Abraham KIBIWOT,KEN,,
8/7/2024,Boxing,Women's 57kg - Semifinal #216,,,,,Esra YILDIZ KAHRAMAN,TUR,,
8/7/2024,Boxing,Women's 57kg - Semifinal #217,,,,,Nesthy PETECIO,PHI,,
8/7/2024,Boxing,Men's +92kg - Semifinal #218,,,,,Nelvie Raman TIAFACK,GER,,
8/7/2024,Boxing,Men's +92kg - Semifinal #219,,,,,Djamili-Dini ABOUDOU MOINDZE,FRA,,
8/7/2024,Boxing,Men's 63.5kg - Final #220,Erislandy ALVAREZ BORGES,CUB,Sofiane OUMIHA,FRA,,,,
8/7/2024,Boxing,Men's 80kg - Final #221,Oleksandr KHYZHNIAK,UKR,Nurbek ORALBAY,KAZ,,,,
8/8/2024,Marathon Swimming,Women's 10km,Sharon van ROUWENDAAL,NED,Moesha JOHNSON,AUS,Ginevra TADDEUCCI,ITA,,
8/8/2024,Sailing,Mixed Dinghy Medal Race,VADLAU/MAEHR,AUT,OKADA/YOSHIOKA,JPN,DAHLBERG/KARLSSON,SWE,,
8/8/2024,Sailing,Mixed Multihull Medal Race,TITA/BANTI,ITA,MAJDALANI/BOSCO,ARG,WILKINSON/DAWSON,NZL,,
8/8/2024,Sport Climbing,"Men's Speed, Final",Veddriq LEONARDO,INA,WU Peng,CHN,Sam WATSON,USA,,
8/8/2024,Canoe Sprint,Men's Canoe Double 500m Final A,LIU/JI,CHN,CASADEI/TACCHINI,ITA,MORENO/DOMINGUEZ,ESP,,
8/8/2024,Canoe Sprint,Women's Kayak Four 500m Final A,New Zealand,NZL,Germany,GER,Hungary,HUN,,
8/8/2024,Canoe Sprint,Men's Kayak Four 500m Final A,Germany,GER,Australia,AUS,Spain,ESP,,
8/8/2024,Hockey,Men's Bronze Medal Match (#M37),,,,,India,IND,,
8/8/2024,Diving,Men's 3m Springboard Final,XIE Siyi,CHN,WANG Zongyuan,CHN,Osmar OLVERA IBARRA,MEX,,
8/8/2024,Weightlifting,Women's 59kg,LUO Shifang,CHN,Maude CHARRON,CAN,KUO Hsing-Chun,TPE,,
8/8/2024,Sailing,Women's Kite,Eleanor ALDRIDGE,GBR,Lauriane NOLOT,FRA,Annelous LAMMERTS,NED,,
8/8/2024,Football,Men's Bronze Medal Match (#31),,,,,Morocco,MAR,,
8/8/2024,Wrestling,Men's Greco-Roman 67kg Bronze Medal Match (#207),,,,,Hasrat JAFAROV,AZE,,
8/8/2024,Wrestling,Men's Greco-Roman 67kg Bronze Medal Match (#208),,,,,Luis Alberto ORTA SANCHEZ,CUB,,
8/8/2024,Wrestling,Men's Greco-Roman 67kg Final (#209),Saeid ESMAEILI LEIVESI,IRI,Parviz NASIBOV,UKR,,,,
8/8/2024,Wrestling,Men's Greco-Roman 87kg Bronze Medal Match (#210),,,,,Zhan BELENIUK,UKR,,
8/8/2024,Wrestling,Men's Greco-Roman 87kg Bronze Medal Match (#211),,,,,Turpal Ali BISULTANOV,DEN,,
8/8/2024,Wrestling,Men's Greco-Roman 87kg Final (#212),Semen Sergeevich NOVIKOV,BUL,Alireza MOHMADIPIANI,IRI,,,,
8/8/2024,Wrestling,Women's Freestyle 53kg Bronze Medal Match (#213),,,,,CHOE Hyo Gyong,PRK,,
8/8/2024,Wrestling,Women's Freestyle 53kg Bronze Medal Match (#214),,,,,PANG Qianyu,CHN,,
8/8/2024,Wrestling,Women's Freestyle 53kg Final (#215),FUJINAMI Akari,JPN,Lucia Yamileth YEPEZ GUZMAN,ECU,,,,
8/8/2024,Hockey,Men's Gold Medal Match (#M38),Netherlands,NED,Germany,GER,,,,
8/8/2024,Cycling Track,"Women's Keirin, Final for Gold",Ellesse ANDREWS,NZL,Hetty van de WOUW,NED,Emma FINUCANE,GBR,,
8/8/2024,Cycling Track,"Men's Omnium, Points Race 4/4",Benjamin THOMAS,FRA,Iuri LEITAO,POR,Fabio van den BOSSCHE,BEL,,
8/8/2024,Weightlifting,Men's 73kg,Rizki JUNIANSYAH,INA,Weeraphon WICHUMA,THA,Bozhidar Dimitrov ANDREEV,BUL,,
8/8/2024,Athletics,Women's Long Jump Final,Tara DAVIS-WOODHALL,USA,Malaika MIHAMBO,GER,Jasmine MOORE,USA,,
8/8/2024,Taekwondo,Men -68kg Bronze Medal Contests (#234),,,,,LIANG Yushuai,CHN,,
8/8/2024,Taekwondo,Men -68kg Bronze Medal Contests (#236),,,,,Edival PONTES,BRA,,
8/8/2024,Athletics,Men's Javelin Throw Final,Arshad NADEEM,PAK,Neeraj CHOPRA,IND,Anderson PETERS,GRN,,
8/8/2024,Athletics,Men's 200m Final,Letsile TEBOGO,BOT,Kenneth BEDNAREK,USA,Noah LYLES,USA,,
8/8/2024,Taekwondo,Women -57kg Bronze Medal Contests (#235),,,,,Skylar PARK,CAN,,
8/8/2024,Taekwondo,Women -57kg Bronze Medal Contests (#237),,,,,Alizadeh KIMIA,BUL,,
8/8/2024,Taekwondo,Men -68kg Gold Medal Contest (#238),Ulugbek RASHITOV,UZB,Zaid KAREEM,JOR,,,,
8/8/2024,Athletics,Women's 400m Hurdles Final,Sydney McLAUGHLIN-LEVRONE,USA,Anna COCKRELL,USA,Femke BOL,NED,,
8/8/2024,Boxing,Men's 57kg - Semifinal (#222),,,,,Charlie SENIOR,AUS,,
8/8/2024,Boxing,Men's 57kg - Semifinal (#223),,,,,Javier IBANEZ DIAZ,BUL,,
8/8/2024,Taekwondo,Women -57kg Gold Medal Contest (#239),KIM Yujin,KOR,Nahid KIYANICHANDEH,IRI,,,,
8/8/2024,Athletics,Men's 110m Hurdles Final,Grant HOLLOWAY,USA,Daniel ROBERTS,USA,Rasheed BROADBELL,JAM,,
8/8/2024,Boxing,Women's 75kg - Semifinal (#224),,,,,Caitlin PARKER,AUS,,
8/8/2024,Boxing,Women's 75kg - Semifinal (#225),,,,,Cindy Winner DJANKEU NGAMBA,EOR,,
8/8/2024,Boxing,Men's 51kg - Final (#226),Hasanboy DUSMATOV,UZB,Billal BENNAMA,FRA,,,,
8/8/2024,Boxing,Women's 54kg - Final (#227),CHANG Yuan,CHN,Hatice AKBAS,TUR,,,,
8/9/2024,Marathon Swimming,Men's 10km,Kristof RASOVSZKY,HUN,Oliver KLEMET,GER,David BETLEHEM,HUN,,
8/9/2024,Table Tennis,Men's Team Bronze Medal Match,,,,,France,FRA,,
8/9/2024,Sailing,Men's Kite,Valentin BONTUS,AUT,Toni VODISEK,SLO,Maximilian MAEDER,SGP,,
8/9/2024,Sport Climbing,Men's Boulder & Lead,Toby ROBERTS,GBR,ANRAKU Sorato,JPN,Jakob SCHUBERT,AUT,,
8/9/2024,Canoe Sprint,Women's Canoe Double 500m,XU/SUN,CHN,LUZAN/RYBACHOK,UKR,MACKENZIE/VINCENT,CAN,,
8/9/2024,Canoe Sprint,Women's Kayak Double 500m,CARRINGTON/HOSKIN,NZL,CSIPES/GAZSO,HUN,PASZEK/HAKE,GER,,
8/9/2024,Canoe Sprint,Women's Kayak Double 500m,,,,,PUPP/FOJT,HUN,,
8/9/2024,Canoe Sprint,Men's Kayak Double 500m,SCHOPF/LEMKE,GER,NADAS/TOTKA,HUN,van der WE/GREEN,AUS,,
8/9/2024,Canoe Sprint,Men's Canoe Single 1000m,Martin FUKSA,CZE,Isaquias QUEIROZ,BRA,Serghei TARNOVSCHI,MDA,,
8/9/2024,Hockey,Women's Bronze Medal Match,,,,,Argentina,ARG,,
8/9/2024,Diving,Women's 3m Springboard,CHEN Yiwen,CHN,Maddison KEENEY,AUS,CHANG Yani,CHN,,
8/9/2024,Football,Women's Bronze Medal Match,,,,,Germany,GER,,
8/9/2024,Table Tennis,Men's Team Gold Medal Match,China,CHN,Sweden,SWE,,,,
8/9/2024,Weightlifting,Men's 89kg,Karlos May NASAR,BUL,Yeison LOPEZ,COL,Antonino PIZZOLATO,ITA,,
8/9/2024,Volleyball,Men's Bronze Medal Match,,,,,United States,USA,,
8/9/2024,Football,Men's Gold Medal Match,Spain,ESP,France,FRA,,,,
8/9/2024,Cycling Track,Women's Madison,Italy,ITA,Great Britain,GBR,Netherlands,NED,,
8/9/2024,Wrestling,Men's Freestyle 57kg Bronze Medal Match,,,,,Aman AMAN,IND,,
8/9/2024,Wrestling,Men's Freestyle 57kg Bronze Medal Match,,,,,Gulomjon ABDULLAEV,UZB,,
8/9/2024,Wrestling,Men's Freestyle 57kg Final,HIGUCHI Rei,JPN,Spencer Richard LEE,USA,,,,
8/9/2024,Wrestling,Men's Freestyle 86kg Bronze Medal Match,,,,,Aaron Marquel BROOKS,USA,,
8/9/2024,Wrestling,Men's Freestyle 86kg Bronze Medal Match,,,,,Dauren KURUGLIEV,GRE,,
8/9/2024,Wrestling,Men's Freestyle 86kg Final,Magomed Eldarovitch RAMAZANOV,BUL,Hassan YAZDANICHARATI,IRI,,,,
8/9/2024,Wrestling,Women's Freestyle 57kg Bronze Medal Match,,,,,Helen Louise MAROULIS,USA,,
8/9/2024,Wrestling,Women's Freestyle 57kg Bronze Medal Match,,,,,HONG Kexin,CHN,,
8/9/2024,Wrestling,Women's Freestyle 57kg Final,SAKURAI Tsugumi,JPN,Anastasia NICHITA,MDA,,,,
8/9/2024,Athletics,Women's 4 x 100m Relay,United States,USA,Great Britain,GBR,Germany,GER,,
8/9/2024,Weightlifting,Women's 71kg,Olivia REEVES,USA,Mari Leivis SANCHEZ,COL,Angie Paola PALACIOS DAJOMES,ECU,,
8/9/2024,Athletics,Women's Shot Put,Yemisi OGUNLEYE,GER,Maddison-Lee WESCHE,NZL,SONG Jiayuan,CHN,,
8/9/2024,Athletics,Men's 4 x 100m Relay,Canada,CAN,South Africa,RSA,Great Britain,GBR,,
8/9/2024,Athletics,Women's 400m,Marileidy PAULINO,DOM,Salwa Eid NASER,BRN,Natalia KACZMAREK,POL,,
8/9/2024,Hockey,Women's Gold Medal Match,Netherlands,NED,China,CHN,,,,
8/9/2024,Athletics,Men's Triple Jump,Jordan Alejandro DIAZ FORTUN,ESP,Pedro PICHARDO,POR,Andy DIAZ HERNANDEZ,ITA,,
8/9/2024,Taekwondo,Women -67kg Bronze Medal Contest,,,,,Kristina TEACHOUT,USA,,
8/9/2024,Taekwondo,Women -67kg Bronze Medal Contest,,,,,Sarah CHAARI,BEL,,
8/9/2024,Taekwondo,Men -80kg Bronze Medal Contest,,,,,Simone ALESSIO,ITA,,
8/9/2024,Taekwondo,Men -80kg Bronze Medal Contest,,,,,Edi HRNIC,DEN,,
8/9/2024,Athletics,"Women's 10,000m",Beatrice CHEBET,KEN,Nadia BATTOCLETTI,ITA,Sifan HASSAN,NED,,
8/9/2024,Beach Volleyball,Women's Bronze Medal Match,,,,,HUBERLI/BRUNNER,SUI,,
8/9/2024,Breaking,B-Girls Bronze Medal Battle,,,,,671,CHN,,
8/9/2024,Breaking,B-Girls Gold Medal Battle,AMI,JPN,NICKA,LTU,,,,
8/9/2024,Taekwondo,Women -67kg Gold Medal Contest,Viviana MARTON,HUN,Aleksandra PERISIC,SRB,,,,
8/9/2024,Boxing,Men's 71kg Final,Asadkhuja MUYDINKHUJAEV,UZB,Marco Alonso VERDE ALVAREZ,MEX,,,,
8/9/2024,Taekwondo,Men -80kg Gold Medal Contest,Firas KATOUSSI,TUN,Mehran BARKHORDARI,IRI,,,,
8/9/2024,Athletics,Men's 400m Hurdles,Rai BENJAMIN,USA,Karsten WARHOLM,NOR,Alison dos SANTOS,BRA,,
8/9/2024,Boxing,Women's 50kg Final,WU Yu,CHN,Buse Naz CAKIROGLU,TUR,,,,
8/9/2024,Boxing,Men's 92kg Final,Lazizbek MULLOJONOV,UZB,Loren Berto ALFONSO DOMINGUEZ,AZE,,,,
8/9/2024,Boxing,Women's 66kg Final,Imane KHELIF,ALG,YANG Liu,CHN,,,,
8/9/2024,Athletics,Women's Heptathlon Final,THIAM Nafissatou,BEL,JOHNSON-THOMPSON Katarina,GBR,VIDTS Noor,BEL,,
8/9/2024,Cycling Track,Men's Sprint Final,Harrie LAVREYSEN,NED,Matthew RICHARDSON,AUS,Jack CARLIN,GBR,,
8/9/2024,Rhythmic Gymnastics,Women's All-Around Final,Darja VARFOLOMEEV,GER,Boryana KALEYN,BUL,Sofia RAFFAELI,ITA,,
8/9/2024,Beach Volleyball,Women's Gold Medal Match,ANA PATRICIA/DUDA,BRA,MELISSA/BRANDIE,CAN,,,,
8/10/2024,Athletics,Men's Marathon,Tamirat TOLA,ETH,Bashir ABDI,BEL,Benson KIPRUTO,KEN,,
8/10/2024,Golf,Women's Individual Stroke Play Round 4,Lydia KO,NZL,Esther HENSELEIT,GER,LIN Xiyu Janet,CHN,,
8/10/2024,Handball,Women's Bronze Medal Match,,,,,Denmark,DEN,,
8/10/2024,Table Tennis,Women's Team Bronze Medal Team Match,,,,,Korea,KOR,,
8/10/2024,Water Polo,Women's Bronze Medal Match,,,,,Netherlands,NED,,
8/10/2024,Basketball,Men's Bronze Medal Game,,,,,Serbia,SRB,,
8/10/2024,Weightlifting,Men's 102kg,LIU Huanhua,CHN,Akbar DJURAEV,UZB,Yauheni TSIKHANTSOU,AIN,,
8/10/2024,Sport Climbing,"Women's Boulder & Lead, Final Lead",Janja GARNBRET,SLO,Brooke RABOUTOU,USA,Jessica PILZ,AUT,,
8/10/2024,Canoe Sprint,Women's Kayak Single 500m Final A,Lisa CARRINGTON,NZL,Tamara CSIPES,HUN,Emma Aastrand JORGENSEN,DEN,,
8/10/2024,Volleyball,Men's Gold Medal Match,France,FRA,Poland,POL,,,,
8/10/2024,Canoe Sprint,Men's Kayak Single 1000m Final A,Josef DOSTAL,CZE,Adam VARGA,HUN,Balint KOPASZ,HUN,,
8/10/2024,Canoe Sprint,Women's Canoe Single 200m Final A,Katie VINCENT,CAN,Nevin HARRISON,USA,Yarisleidis CIRILO DUBOYS,CUB,,
8/10/2024,Rhythmic Gymnastics,Group All-Around Final,People's Republic of China,CHN,Israel,ISR,Italy,ITA,,
8/10/2024,Diving,Men's 10m Platform Final,CAO Yuan,CHN,TAMAI Rikuto,JPN,Noah WILLIAMS,GBR,,
8/10/2024,Handball,Women's Gold Medal Match,Norway,NOR,France,FRA,,,,
8/10/2024,Table Tennis,Women's Team Gold Medal Team Match,China,CHN,Japan,JPN,,,,
8/10/2024,Water Polo,Women's Gold Medal Match,Spain,ESP,Australia,AUS,,,,
8/10/2024,Weightlifting,Women's 81kg,Solfrid Eila Amena KOANDA,NOR,Sara AHMED,EGY,Neisi Patricia DAJOMES BARRERA,ECU,,
8/10/2024,Football,Women's Gold Medal Match,United States,USA,Brazil,BRA,,,,
8/10/2024,Volleyball,Women's Bronze Medal Match,,,,,Brazil,BRA,,
8/10/2024,Cycling Track,"Men's Madison, Final",Portugal,POR,Italy,ITA,Denmark,DEN,,
8/10/2024,Athletics,Men's High Jump Final,Hamish KERR,NZL,Shelby McEWEN,USA,Mutaz Essa BARSHIM,QAT,,
8/10/2024,Modern Pentathlon,"Men's Individual, Final, Laser Run",Ahmed ELGENDY,EGY,SATO Taishu,JPN,Giorgio MALAN,ITA,,
8/10/2024,Athletics,Men's 800m Final,Emmanuel WANYONYI,KEN,Marco AROP,CAN,Djamel SEDJATI,ALG,,
8/10/2024,Wrestling,Men's Freestyle 74kg Bronze Medal Match,,,,,Kyle Douglas DAKE,USA,,
8/10/2024,Wrestling,Men's Freestyle 74kg Bronze Medal Match,,,,,Chermen VALIEV,ALB,,
8/10/2024,Wrestling,Men's Freestyle 74kg Final,Razambek Salambekovitch JAMALOV,UZB,TAKATANI Daichi,JPN,,,,
8/10/2024,Wrestling,Men's Freestyle 125kg Bronze Medal Match,,,,,Taha AKGUL,TUR,,
8/10/2024,Wrestling,Men's Freestyle 125kg Bronze Medal Match,,,,,Giorgi MESHVILDISHVILI,AZE,,
