player,detail,peak_date,birth_year,gender
Oana Pantelimon,Bronze,2000,1972,F
Yelena Slesarenko,Gold,2004,1982,F
Hestrie Cloete,Silver,2004,1978,F
Vita Styopina,Bronze,2004,1976,F
Tia Hellebaut,Gold,2008,1978,F
Blanka Vlašić,Silver,2008,1983,F
Chaunté Howard,Bronze,2008,1984,F
Anna Chicherova,Gold,2012,1982,F
Brigetta Barrett,Silver,2012,1990,F
Ruth Beitia,Bronze,2012,1979,F
Ruth Beitia,Gold,2016,1979,F
Mirela Demireva,Silver,2016,1989,F
Blanka Vlašić,Bronze,2016,1983,F
Mariya Lasitskene,Gold,2020,1993,F
Nicola McDermott,Silver,2020,1996,F
Yaroslava Mahuchikh,Bronze,2020,2001,F
Yaroslava Mahuchikh,Gold,2024,2001,F
Nicola Olyslagers,Silver,2024,1996,F
Iryna Herashchenko,Bronze,2024,1995,F
Eleanor Patterson,Bronze,2024,1996,F
