player,detail,peak_date,birth_year,gender
Mirela Maniani-Tzelili,Silver,2000,1976,F
Osleidys Menéndez,Bronze,2000,1979,F
Osleidys Menéndez,Gold,2004,1979,F
Steffi Nerius,Silver,2004,1972,F
Mirela Maniani,Bronze,2004,1976,F
Barbora Špotáková,Gold,2008,1981,F
Christina Obergföll,Silver,2008,1981,F
Goldie Sayers,Bronze,2008,1982,F
Barbora Špotáková,Gold,2012,1981,F
Christina Obergföll,Silver,2012,1981,F
Linda Stahl,Bronze,2012,1985,F
Sara Kolak,Gold,2016,1995,F
Sunette Viljoen,Silver,2016,1983,F
Barbora Špotáková,Bronze,2016,1981,F
Liu Shiying,Gold,2020,1993,F
Maria Andrejczyk,Silver,2020,1996,F
Kelsey-Lee Barber,Bronze,2020,1991,F
Haruka Kitaguchi,Gold,2024,1998,F
Jo-Ane van Dyk,Silver,2024,1997,F
Nikola Ogrodníková,Bronze,2024,1990,F
