player,detail,peak_date,birth_year,gender
Eamon Sullivan,Silver,2008,1985,M
Jason Lezak,Bronze,2008,1975,M
César Cielo,Bronze,2008,1987,M
Nathan Adrian,Gold,2012,1988,M
James Magnussen,Silver,2012,1991,M
Brent Hayden,Bronze,2012,1983,M
Kyle Chalmers,Gold,2016,1998,M
Pieter Timmers,Silver,2016,1988,M
Nathan Adrian,Bronze,2016,1988,M
Caeleb Dressel,Gold,2020,1996,M
Kyle Chalmers,Silver,2020,1998,M
Kliment Kolesnikov,Bronze,2020,2000,M
Pan Zhanle,Gold,2024,2004,M
Kyle Chalmers,Silver,2024,1998,M
David Popovici,Bronze,2024,2004,M
