player,detail,peak_date,birth_year,gender
Miguel Cabrera,3B,2012,1983,M
Buster Posey,C,2012,1987,M
Miguel Cabrera,3B,2013,1983,M
Andrew McCutchen,OF,2013,1986,M
Mike Trout,OF,2014,1991,M
Clayton Kershaw,LHP,2014,1988,M
Josh Donaldson,3B,2015,1985,M
Bryce Harper,OF,2015,1992,M
Mike Trout,OF,2016,1991,M
Kris Bryant,3B/OF,2016,1992,M
Jose Altuve,2B,2017,1990,M
Giancarlo Stanton,OF,2017,1989,M
Mookie Betts,OF,2018,1992,M
Christian Yelich,OF,2018,1991,M
Mike Trout,OF,2019,1991,M
Cody Bellinger,OF,2019,1995,M
José Abreu,1B,2020,1987,M
Freddie Freeman,1B,2020,1989,M
Shohei Ohtani,RHP/DH,2021,1994,M
Bryce Harper,OF,2021,1992,M
Aaron Judge,OF,2022,1992,M
Paul Goldschmidt,1B,2022,1987,M
Shohei Ohtani,RHP/DH,2023,1994,M
Ronald Acuña Jr.,OF,2023,1997,M
