country_code,country_name,year,obesity_rate
FSM,Micronesia,2022,47.1
BHS,Bahamas,2022,47.26
PYF,French Polynesia,2022,48.09
WSM,Samoa,2022,62.43
TUV,Tuvalu,2022,64.2
NIU,Niue,2022,66.58
COK,Cook Islands,2022,68.92
TKL,Tokelau,2022,69.82
NRU,Nauru,2022,69.92
TON,Tonga,2022,71.65
ASM,American Samoa,2022,75.21
