name,year,state,search_interest
Charmander,2024,District of Columbia,28
Charmander,2024,Florida,55
Charmander,2024,Georgia,55
Charmander,2024,Hawaii,100
Charmander,2024,Idaho,84
Charmander,2024,Illinois,60
Charmander,2024,Indiana,76
Charmander,2024,Iowa,77
Charmander,2024,Kansas,67
Charmander,2024,Kentucky,80
Charmander,2024,Louisiana,50
Charmander,2024,Maine,64
Charmander,2024,Maryland,62
Charmander,2024,Massachusetts,54
Charmander,2024,Michigan,67
Charmander,2024,Minnesota,71
Charmander,2024,Mississippi,58
Charmander,2024,Missouri,73
Charmander,2024,Montana,59
Charmander,2024,Nebraska,63
Charmander,2024,Nevada,89
Charmander,2024,New Hampshire,75
Charmander,2024,New Jersey,62
Charmander,2024,New Mexico,69
Charmander,2024,New York,51
Charmander,2024,North Carolina,62
Charmander,2024,North Dakota,65
Charmander,2024,Ohio,66
Charmander,2024,Oklahoma,72
Charmander,2024,Oregon,70
Charmander,2024,Pennsylvania,62
Charmander,2024,Rhode Island,71
Charmander,2024,South Carolina,56
Charmander,2024,South Dakota,67
Charmander,2024,Tennessee,62
Charmander,2024,Texas,74
Charmander,2024,Utah,91
Charmander,2024,Vermont,70
Charmander,2024,Virginia,59
Charmander,2024,Washington,81
Charmander,2024,West Virginia,71
Charmander,2024,Wisconsin,67
Charmander,2024,Wyoming,40
Charmeleon,2024,Alabama,45
Charmeleon,2024,Alaska,67
Charmeleon,2024,Arizona,70
Charmeleon,2024,Arkansas,67
Charmeleon,2024,California,70
Charmeleon,2024,Colorado,64
Charmeleon,2024,Connecticut,58
Charmeleon,2024,Delaware,48
Charmeleon,2024,District of Columbia,54
Charmeleon,2024,Florida,54
Charmeleon,2024,Georgia,54
Charmeleon,2024,Hawaii,100
Charmeleon,2024,Idaho,87
Charmeleon,2024,Illinois,61
Charmeleon,2024,Indiana,80
Charmeleon,2024,Iowa,67
Charmeleon,2024,Kansas,70
Charmeleon,2024,Kentucky,80
Charmeleon,2024,Louisiana,54
Charmeleon,2024,Maine,83
Charmeleon,2024,Maryland,58
Charmeleon,2024,Massachusetts,58
Charmeleon,2024,Michigan,67
Charmeleon,2024,Minnesota,67
Charmeleon,2024,Mississippi,51
Charmeleon,2024,Missouri,74
Charmeleon,2024,Montana,45
Charmeleon,2024,Nebraska,54
Charmeleon,2024,Nevada,74
Charmeleon,2024,New Hampshire,64
Charmeleon,2024,New Jersey,70
Charmeleon,2024,New Mexico,61
Charmeleon,2024,New York,45
Charmeleon,2024,North Carolina,58
Charmeleon,2024,North Dakota,77
Charmeleon,2024,Ohio,61
Charmeleon,2024,Oklahoma,74
Charmeleon,2024,Oregon,77
Charmeleon,2024,Pennsylvania,54
Charmeleon,2024,Rhode Island,90
Charmeleon,2024,South Carolina,54
Charmeleon,2024,South Dakota,80
Charmeleon,2024,Tennessee,48
Charmeleon,2024,Texas,67
Charmeleon,2024,Utah,93
Charmeleon,2024,Vermont,0
Charmeleon,2024,Virginia,64
Charmeleon,2024,Washington,80
Charmeleon,2024,West Virginia,67
Charmeleon,2024,Wisconsin,74
Charmeleon,2024,Wyoming,61
Charizard,2024,Alabama,47
Charizard,2024,Alaska,82
Charizard,2024,Arizona,69
Charizard,2024,Arkansas,60
Charizard,2024,California,90
Charizard,2024,Colorado,67
Charizard,2024,Connecticut,56
Charizard,2024,Delaware,62
Charizard,2024,District of Columbia,31
Charizard,2024,Florida,61
Charizard,2024,Georgia,53
Charizard,2024,Hawaii,100
Charizard,2024,Idaho,68
Charizard,2024,Illinois,60
Charizard,2024,Indiana,72
Charizard,2024,Iowa,57
Charizard,2024,Kansas,59
Charizard,2024,Kentucky,73
Charizard,2024,Louisiana,43
Charizard,2024,Maine,61
Charizard,2024,Maryland,60
Charizard,2024,Massachusetts,57
Charizard,2024,Michigan,65
Charizard,2024,Minnesota,75
Charizard,2024,Mississippi,47
Charizard,2024,Missouri,66
Charizard,2024,Montana,58
Charizard,2024,Nebraska,65
Charizard,2024,Nevada,80
Charizard,2024,New Hampshire,64
Charizard,2024,New Jersey,60
Charizard,2024,New Mexico,73
Charizard,2024,New York,57
Charizard,2024,North Carolina,62
Charizard,2024,North Dakota,75
Charizard,2024,Ohio,65
Charizard,2024,Oklahoma,62
Charizard,2024,Oregon,73
Charizard,2024,Pennsylvania,60
Charizard,2024,Rhode Island,72
Charizard,2024,South Carolina,54
Charizard,2024,South Dakota,63
Charizard,2024,Tennessee,61
Charizard,2024,Texas,75
Charizard,2024,Utah,78
Charizard,2024,Vermont,54
Charizard,2024,Virginia,60
Charizard,2024,Washington,80
Charizard,2024,West Virginia,77
Charizard,2024,Wisconsin,70
Charizard,2024,Wyoming,54
Squirtle,2024,Alabama,47
Squirtle,2024,Alaska,73
Squirtle,2024,Arizona,72
Squirtle,2024,Arkansas,66
Squirtle,2024,California,78
Squirtle,2024,Colorado,64
