Congress Number,Name,Link,State,Detail,Start Date,End Date
3,Caleb Strong,https://en.wikipedia.org/wiki/Caleb_Strong,Massachusetts,,"March 4, 1793","March 3, 1795"
3,Samuel Livermore,https://en.wikipedia.org/wiki/Samuel_Livermore,New Hampshire,,"March 4, 1793","March 3, 1795"
3,John Langdon,https://en.wikipedia.org/wiki/John_Langdon_(politician),New Hampshire,,"March 4, 1793","March 3, 1795"
3,John Rutherfurd,https://en.wikipedia.org/wiki/John_Rutherfurd,New Jersey,,"March 4, 1793","March 3, 1795"
3,Frederick Frelinghuysen,https://en.wikipedia.org/wiki/Frederick_Frelinghuysen_(1753%E2%80%931804),New Jersey,,"March 4, 1793","March 3, 1795"
3,Aaron Burr,https://en.wikipedia.org/wiki/Aaron_Burr,New York,,"March 4, 1793","March 3, 1795"
3,Rufus King,https://en.wikipedia.org/wiki/Rufus_King,New York,,"March 4, 1793","March 3, 1795"
3,Alexander Martin,https://en.wikipedia.org/wiki/Alexander_Martin,North Carolina,,"March 4, 1793","March 3, 1795"
3,Benjamin Hawkins,https://en.wikipedia.org/wiki/Benjamin_Hawkins,North Carolina,,"March 4, 1793","March 3, 1795"
3,Albert Gallatin,https://en.wikipedia.org/wiki/Albert_Gallatin,Pennsylvania,"until February 28, 1794","March 4, 1793","February 28, 1794"
3,James Ross,https://en.wikipedia.org/wiki/James_Ross_(Pennsylvania_congressman),Pennsylvania,"from April 24, 1794","April 24, 1794","March 3, 1795"
3,Robert Morris,https://en.wikipedia.org/wiki/Robert_Morris_(merchant),Pennsylvania,,"March 4, 1793","March 3, 1795"
3,Theodore Foster,https://en.wikipedia.org/wiki/Theodore_Foster,Rhode Island,,"March 4, 1793","March 3, 1795"
3,William Bradford,https://en.wikipedia.org/wiki/William_Bradford_(1729-1808),Rhode Island,,"March 4, 1793","March 3, 1795"
3,Pierce Butler,https://en.wikipedia.org/wiki/Pierce_Butler_(American_politician),South Carolina,,"March 4, 1793","March 3, 1795"
3,Ralph Izard,https://en.wikipedia.org/wiki/Ralph_Izard,South Carolina,,"March 4, 1793","March 3, 1795"
3,Moses Robinson,https://en.wikipedia.org/wiki/Moses_Robinson,Vermont,,"March 4, 1793","March 3, 1795"
3,Stephen R. Bradley,https://en.wikipedia.org/wiki/Stephen_R._Bradley,Vermont,,"March 4, 1793","March 3, 1795"
3,James Monroe,https://en.wikipedia.org/wiki/James_Monroe,Virginia,"until May 27, 1794","March 4, 1793","May 27, 1794"
3,Stevens Mason,https://en.wikipedia.org/wiki/Stevens_Thomson_Mason_(Virginia),Virginia,"from November 18, 1794","November 18, 1794","March 3, 1795"
3,John Taylor of Caroline,https://en.wikipedia.org/wiki/John_Taylor_of_Caroline,Virginia,"until May 11, 1794","March 4, 1793","May 11, 1794"
3,Henry Tazewell,https://en.wikipedia.org/wiki/Henry_Tazewell,Virginia,"from December 29, 1794","December 29, 1794","March 3, 1795"
