name,state,congress,start_date,end_date
"Harris, Kamala",CA,115TH Congress,2017-01-03,
"Kennedy, John",LA,115TH Congress,2017-01-03,
"Van Hollen, Chris",MD,115TH Congress,2017-01-03,
"Young, Todd",IN,115TH Congress,2017-01-03,
"Strange, Luther",AL,115TH Congress,2017-02-09,
"Jones, Doug",AL,115TH Congress,2018-01-03,
"Blackburn, Marsha",TN,116TH Congress,2019-01-03,
"Braun, Mike",IN,116TH Congress,2019-01-03,
"Cramer, Kevin",ND,116TH Congress,2019-01-03,
"Hawley, Josh",MO,116TH Congress,2019-01-03,
"Romney, Mitt",UT,116TH Congress,2019-01-03,
"Rosen, Jacky",NV,116TH Congress,2019-01-03,
"Sinema, Kyrsten",AZ,116TH Congress,2019-01-03,
"Loeffler, Kelly",GA,116TH Congress,2019-01-06,
"Kelly, Mark E.",AZ,116TH Congress,2019-12-02,
"Hickenlooper, John W., Jr.",CO,117TH Congress,2019-01-03,
"Lummis, Cynthia M.",WY,117TH Congress,2019-01-03,
"Marshall, Roger W.",KS,117TH Congress,2019-01-03,
"Ossoff, Jon",GA,117TH Congress,2019-01-20,
"Warnock, Raphael G.",GA,117TH Congress,2019-01-20,
"Britt, Katie",AL,118TH Congress,2019-01-03,
"Budd, Ted",NC,118TH Congress,2019-01-03,
"Fetterman, John",PA,118TH Congress,2019-01-03,
"Mullin, Markwayne",OK,118TH Congress,2019-01-03,
"Schmitt, Eric",MO,118TH Congress,2019-01-03,
"Vance, James D.",OH,118TH Congress,2019-01-03,
"Welch, Peter",VT,118TH Congress,2019-01-03,
"Butler, Laphonza",CA,118TH Congress,2019-10-01,
"Helmy, George",NJ,118TH Congress,2019-08-23,
"Kim, Andy",NJ,118TH Congress,2019-12-08,
"Schiff, Adam B.",CA,118TH Congress,2019-12-08,
"Alsobrooks, Angela",MD,119TH Congress,2019-01-03,
"Banks, James E.",IN,119TH Congress,2019-01-03,
"Blunt Rochester, Lisa",DE,119TH Congress,2019-01-03,
"Curtis, John R.",UT,119TH Congress,2019-01-03,
"Gallego, Ruben",AZ,119TH Congress,2019-01-03,
"McCormick, David",PA,119TH Congress,2019-01-03,
"Moreno, Bernie",OH,119TH Congress,2019-01-03,
"Sheehy, Tim",MT,119TH Congress,2019-01-03,
"Slotkin, Elissa",MI,119TH Congress,2019-01-03,
"Justice, James",WV,119TH Congress,2019-01-14,
"Husted, Jon A.",OH,119TH Congress,2019-01-18,
"Moody, Ashley B.",FL,119TH Congress,2019-01-21,
