country_name,country_code,year,forest_perc,is_country
Bosnia and Herzegovina,BIH,2022,42.7326171875,True
Cameroon,CMR,2022,42.7925789596158,True
Myanmar,MMR,2022,42.846262276495,True
French Polynesia,PYF,2022,43.0596369922213,True
Belarus,BLR,2022,43.3351396620523,True
Cambodia,KHM,2022,43.9439723544074,True
Trinidad and Tobago,TTO,2022,44.317738791423,True
Dominican Republic,DOM,2022,44.8209283285911,True
Zimbabwe,ZWE,2022,44.8557321959416,True
New Caledonia,NCL,2022,45.8326039387309,True
Mozambique,MOZ,2022,46.1193311121849,True
Bolivia,BOL,2022,46.5396883596418,True
Vietnam,VNM,2022,47.203321964464,True
Austria,AUT,2022,47.206131846825,True
Indonesia,IDN,2022,48.0419900717626,True
North Korea,PRK,2022,49.7270160285691,True
Russia,RUS,2022,49.7843360788722,True
Ecuador,ECU,2022,49.8038734095668,True
Tanzania,TZA,2022,50.5836531948521,True
The Bahamas,BHS,2022,50.9350649350649,True
Guam,GUM,2022,51.8518518518518,True
Grenada,GRD,2022,52.0588235294118,True
Marshall Islands,MHL,2022,52.2222222222222,True
Venezuela,VEN,2022,52.2949719403662,True
Angola,AGO,2022,52.5364972326943,True
Cayman Islands,CYM,2022,52.6666666666667,True
Sao Tome and Principe,STP,2022,52.7708333333333,True
Colombia,COL,2022,52.9457763857593,True
Northern Mariana,MNP,2022,52.9565217391304,True
DR Congo,COD,2022,54.6756759224543,True
Latvia,LVA,2022,54.933793990037,True
Belize,BLZ,2022,55.0078912757563,True
Jamaica,JAM,2022,55.8320498614958,True
Puerto Rico,PRI,2022,56.0665163472379,True
Peru,PER,2022,56.238047734375,True
Honduras,HND,2022,56.4604522298686,True
Panama,PAN,2022,56.4978579131842,True
Estonia,EST,2022,57.0652937046572,True
Virgin Islands (U.S.),VIR,2022,57.7428571428571,True
Samoa,WSM,2022,57.8093525179856,True
Malaysia,MYS,2022,57.871678587734,True
Brazil,BRA,2022,59.1275118866159,True
