countrycode,country,year,gdppc,pop,total_gdp,rank
IDN,Indonesia,2018,11768.467550581036,264788.84,3116158871.295994,8.0
BRA,Brazil,2018,14197.549718513385,212257.83,3013541094.568762,9.0
FRA,France,2018,38555.46543208852,67347.11,2596599171.5560627,10.0
GBR,United Kingdom,2018,38704.602674613714,66732.33,2582848318.2012053,11.0
ITA,Italy,2018,35149.822737797,59902.2,2105551711.6040635,12.0
MEX,Mexico,2018,17055.116395989793,120288.77,2051538973.4804451,13.0
TUR,Turkey,2018,23650.489423952156,83534.74,1975637484.9025934,14.0
KOR,Republic of Korea,2018,38214.32540521402,51585.0,1971285976.027965,15.0
CHN,China,2019,16879.53970153226,1400034.69,23631941133.377407,1.0
USA,United States,2019,56469.26365925514,328330.0,18540553337.24324,2.0
IND,India,2019,7293.989586302366,1315530.1,9595462849.867311,3.0
SUN,Former USSR,2019,19369.4286693932,295881.01,5731046117.823016,4.0
JPN,Japan,2019,38332.93526364285,126091.78,4833468040.017496,5.0
DEU,Germany,2019,46761.9460555775,83110.16,3886392818.590415,6.0
RUS,Russian Federation,2019,25244.118677579016,146768.26,3705035373.5417733,7.0
IDN,Indonesia,2019,12250.278163963407,267142.33,3272567851.8693066,8.0
BRA,Brazil,2019,14257.871306763853,213939.88,3050327276.424502,9.0
FRA,France,2019,39084.65542048323,67659.64,2644453715.273944,10.0
GBR,United Kingdom,2019,39113.01173266413,67094.94,2624285175.4223957,11.0
ITA,Italy,2019,35407.241128719455,59754.04,2115725702.6951475,12.0
MEX,Mexico,2019,16802.014276655613,121872.37,2047701300.669855,13.0
KOR,Republic of Korea,2019,38935.992061269324,51765.0,2015521629.0516067,14.0
TUR,Turkey,2019,23497.50335772699,84737.37,1991116636.0999541,15.0
CHN,China,2020,17225.968276942745,1402060.16,24151843838.52527,1.0
USA,United States,2020,54379.20651245575,331512.0,18027359509.35723,2.0
IND,India,2020,6730.546822014761,1329061.88,8945313212.694963,3.0
SUN,Former USSR,2020,18851.242339041684,296210.85,5583942516.803525,4.0
JPN,Japan,2020,36826.638969213906,125633.55,4626661388.270684,5.0
DEU,Germany,2020,44996.4296207847,83178.18,3742721122.3549614,6.0
RUS,Russian Federation,2020,24625.384368269115,146463.36,3606716535.8681717,7.0
IDN,Indonesia,2020,11895.075330697577,269436.93,3204972579.2218895,8.0
BRA,Brazil,2020,13685.925743510985,215577.48,2950377383.2532244,9.0
FRA,France,2020,35913.81936941929,67901.27,2438593945.734169,10.0
GBR,United Kingdom,2020,34651.183049111096,67380.21,2334803990.597546,11.0
TUR,Turkey,2020,23721.88049784061,85564.44,2029749420.5446532,12.0
KOR,Republic of Korea,2020,38606.98332035484,51836.0,2001231587.3939135,13.0
ITA,Italy,2020,32385.32709510664,59463.72,1925752022.4918346,14.0
MEX,Mexico,2020,15253.691313136262,123260.43,1880176550.3444402,15.0
CHN,China,2021,18666.604569482603,1402536.74,26180598719.751232,1.0
USA,United States,2021,57522.70462551701,332032.0,19099378662.219666,2.0
IND,India,2021,7315.121362710703,1339912.27,9801620870.43519,3.0
SUN,Former USSR,2021,19871.10178166326,296102.41000000003,5883881126.905786,4.0
JPN,Japan,2021,37678.275798449475,125427.27,4725883271.706588,5.0
DEU,Germany,2021,46159.05188091431,83213.19,3841041954.38638,6.0
RUS,Russian Federation,2021,26119.94763869551,145849.13,3809571638.7492948,7.0
IDN,Indonesia,2021,12233.968593294914,271674.27,3323654486.786323,8.0
BRA,Brazil,2021,14292.935059037914,216720.02,3097565171.853398,9.0
FRA,France,2021,38242.13474775759,68113.95,2604822854.102023,10.0
GBR,United Kingdom,2021,37134.328380219384,67651.42,2512190045.6681414,11.0
TUR,Turkey,2021,26175.930475549758,86346.36,2260196316.1767907,12.0
KOR,Republic of Korea,2021,40277.95211820309,51745.0,2084182632.3564188,13.0
ITA,Italy,2021,34827.13496942706,59157.89,2060299819.5365195,14.0
MEX,Mexico,2021,15853.37632930669,124461.88,1973141022.2930098,15.0
CHN,China,2022,19238.17878269338,1401692.8,26966016684.814075,1.0
USA,United States,2022,58487.46586089506,333288.0,19493170521.845993,2.0
IND,India,2022,7765.592962073302,1349059.74,10476248822.36044,3.0
SUN,Former USSR,2022,19354.708071185578,294378.63,5697612446.045553,4.0
JPN,Japan,2022,38268.788301490815,124762.11,4774494775.63731,5.0
DEU,Germany,2022,46647.79191665137,83811.31,3909612549.141962,6.0
RUS,Russian Federation,2022,25437.10802228907,146692.81,3731440854.063126,7.0
IDN,Indonesia,2022,12801.67093446864,273409.14,3500093840.7560678,8.0
BRA,Brazil,2022,14640.076122577277,217718.33,3187412924.4803996,9.0
FRA,France,2022,39065.70958246763,68386.54,2671568710.9898057,10.0
GBR,United Kingdom,2022,38406.531948777076,68093.38,2615230574.470218,11.0
TUR,Turkey,2022,27361.987659454844,87201.13,2385996242.9505177,12.0
KOR,Republic of Korea,2022,41320.89777310909,51730.69,2137558553.2223969,13.0
ITA,Italy,2022,36224.29371800584,58966.21,2136009310.4776132,14.0
MEX,Mexico,2022,16235.455392709897,125246.73,2033437697.9977803,15.0
