countrycode,country,year,gdppc,pop,total_gdp,rank
NOR,Norway,1832,1393.0,1150.0,1601950.0,12.0
CHL,Chile,1832,956.0,1007.0,962692.0,13.0
AUS,Australia,1832,1428.0,338.0,482664.0,14.0
GBR,United Kingdom,1833,3599.0,24937.0,89748263.0,1.0
FRA,France,1833,2052.4140419376195,33718.0,69203296.66605265,2.0
DEU,Germany,1833,2142.034962533275,28801.0,61692748.95592086,3.0
ITA,Italy,1833,2513.033197910225,21932.0,55115844.09656706,4.0
USA,United States,1833,3459.5496000000003,14496.0,50149631.001600005,5.0
ESP,Spain,1833,1589.8493780204574,13304.0,21151356.125184163,6.0
IDN,Indonesia,1833,840.0,19962.0,16768080.0,7.0
NLD,Netherlands,1833,3341.0,2683.0,8963903.0,8.0
PRT,Portugal,1833,1420.9199322727502,3552.0,5047107.599432808,9.0
SWE,Sweden,1833,1503.0,2941.0,4420323.0,10.0
GRC,Greece,1833,1537.0,2605.0,4003885.0,11.0
DNK,Denmark,1833,2130.0,1284.0,2734920.0,12.0
NOR,Norway,1833,1508.0,1163.0,1753804.0,13.0
CHL,Chile,1833,961.0,1028.0,987908.0,14.0
AUS,Australia,1833,1435.0,349.0,500815.0,15.0
GBR,United Kingdom,1834,3639.0,25194.0,91680966.0,1.0
FRA,France,1834,2055.49497574838,33859.0,69597004.3838644,2.0
DEU,Germany,1834,2168.900627115677,29071.0,63052110.13087984,3.0
ITA,Italy,1834,2520.4525283131657,22073.0,55633948.6574565,4.0
USA,United States,1834,3294.9928,14915.0,49144817.612,5.0
ESP,Spain,1834,1564.5525291611057,13392.0,20952487.470525526,6.0
IDN,Indonesia,1834,867.0,20128.0,17450976.0,7.0
NLD,Netherlands,1834,3370.0,2707.0,9122590.0,8.0
PRT,Portugal,1834,1465.94411115425,3475.0,5094155.786261019,9.0
SWE,Sweden,1834,1522.0,2971.0,4521862.0,10.0
GRC,Greece,1834,1635.0,2629.0,4298415.0,11.0
DNK,Denmark,1834,2227.0,1295.0,2883965.0,12.0
NOR,Norway,1834,1527.0,1174.0,1792698.0,13.0
CHL,Chile,1834,983.0,1050.0,1032150.0,14.0
AUS,Australia,1834,1508.0,354.0,533832.0,15.0
GBR,United Kingdom,1835,3861.0,25452.0,98270172.0,1.0
FRA,France,1835,2124.277698200296,34000.0,72225441.73881006,2.0
DEU,Germany,1835,2170.50019501018,29390.0,63791000.73134919,3.0
ITA,Italy,1835,2531.0515717459375,22215.0,56227310.666336,4.0
USA,United States,1835,3419.6960000000004,15334.0,52437618.46400001,5.0
ESP,Spain,1835,1573.8107997470327,13482.0,21218117.202189494,6.0
IDN,Indonesia,1835,838.0,20296.0,17008048.0,7.0
NLD,Netherlands,1835,3360.0,2732.0,9179520.0,8.0
GRC,Greece,1835,2138.0,2653.0,5672114.0,9.0
PRT,Portugal,1835,1444.28261880175,3595.0,5192196.014592291,10.0
SWE,Sweden,1835,1517.0,3004.0,4557068.0,11.0
DNK,Denmark,1835,2195.0,1306.0,2866670.0,12.0
NOR,Norway,1835,1503.0,1188.0,1785564.0,13.0
CHL,Chile,1835,1003.0,1071.0,1074213.0,14.0
AUS,Australia,1835,1825.0,358.0,653350.0,15.0
GBR,United Kingdom,1836,3937.0,25715.0,101239955.0,1.0
FRA,France,1836,2089.476181391859,34178.0,71414116.92761095,2.0
DEU,Germany,1836,2173.381763158627,29702.0,64553785.12933754,3.0
ITA,Italy,1836,2524.6921456862747,22358.0,56447066.99325373,4.0
USA,United States,1836,3469.8344,15753.0,54660301.30320001,5.0
ESP,Spain,1836,1537.6418337887014,13571.0,20867337.32634647,6.0
IDN,Indonesia,1836,821.0,20464.0,16800944.0,7.0
NLD,Netherlands,1836,3472.0,2762.0,9589664.0,8.0
GRC,Greece,1836,2067.0,2677.0,5533359.0,9.0
PRT,Portugal,1836,1431.16937183675,3617.0,5176539.617933525,10.0
SWE,Sweden,1836,1565.0,3042.0,4760730.0,11.0
DNK,Denmark,1836,2179.0,1315.0,2865385.0,12.0
NOR,Norway,1836,1466.0,1202.0,1762132.0,13.0
CHL,Chile,1836,991.0,1093.0,1083163.0,14.0
AUS,Australia,1836,1793.0,367.0,658031.0,15.0
GBR,United Kingdom,1837,3857.0,25968.0,100158576.0,1.0
FRA,France,1837,2118.7672054460413,34357.0,72794484.87750964,2.0
DEU,Germany,1837,2169.2284743126797,30013.0,65105054.19954646,3.0
ITA,Italy,1837,2525.752050029552,22502.0,56834472.629764974,4.0
USA,United States,1837,3360.5584000000003,16171.0,54343589.88640001,5.0
ESP,Spain,1837,1549.6858376207922,13662.0,21171807.91357526,6.0
IDN,Indonesia,1837,862.0,20634.0,17786508.0,7.0
NLD,Netherlands,1837,3553.0,2791.0,9916423.0,8.0
GRC,Greece,1837,2120.0,2702.0,5728240.0,9.0
PRT,Portugal,1837,1572.948715702,3639.0,5723960.376439578,10.0
SWE,Sweden,1837,1554.0,3068.0,4767672.0,11.0
DNK,Denmark,1837,2219.0,1325.0,2940175.0,12.0
NOR,Norway,1837,1463.0,1214.0,1776082.0,13.0
CHL,Chile,1837,1028.0,1115.0,1146220.0,14.0
AUS,Australia,1837,1881.0,373.0,701613.0,15.0
GBR,United Kingdom,1838,3963.0,26223.0,103921749.0,1.0
FRA,France,1838,2210.6440063241553,34537.0,76349012.04641736,2.0
DEU,Germany,1838,2116.1454960967108,30365.0,64256757.98897662,3.0
ITA,Italy,1838,2514.093102253503,22647.0,56936666.486735076,4.0
USA,United States,1838,3329.704,16591.0,55243119.064,5.0
ESP,Spain,1838,1535.7496460570717,13753.0,21121164.882222906,6.0
IDN,Indonesia,1838,859.0,20806.0,17872354.0,7.0
NLD,Netherlands,1838,3590.0,2821.0,10127390.0,8.0
GRC,Greece,1838,2230.0,2727.0,6081210.0,9.0
PRT,Portugal,1838,1589.9185780432501,3661.0,5820691.914216339,10.0
SWE,Sweden,1838,1529.0,3083.0,4713907.0,11.0
DNK,Denmark,1838,2216.0,1335.0,2958360.0,12.0
NOR,Norway,1838,1482.0,1224.0,1813968.0,13.0
CHL,Chile,1838,1033.0,1137.0,1174521.0,14.0
AUS,Australia,1838,1857.0,388.0,720516.0,15.0
GBR,United Kingdom,1839,3881.0,26483.0,102780523.0,1.0
FRA,France,1839,2128.782413185134,34718.0,73907067.82096148,2.0
DEU,Germany,1839,2119.0685668591445,30746.0,65152882.15665126,3.0
USA,United States,1839,3491.6896,17009.0,59390148.4064,4.0
ITA,Italy,1839,2511.9732935669485,22793.0,57255407.280271456,5.0
ESP,Spain,1839,1575.3464323318278,13845.0,21810671.355634157,6.0
IDN,Indonesia,1839,843.0,20978.0,17684454.0,7.0
NLD,Netherlands,1839,3588.0,2853.0,10236564.0,8.0
PRT,Portugal,1839,1628.5508621200001,3683.0,5997952.825187961,9.0
GRC,Greece,1839,2020.0,2752.0,5559040.0,10.0
SWE,Sweden,1839,1546.0,3098.0,4789508.0,11.0
DNK,Denmark,1839,2224.0,1347.0,2995728.0,12.0
NOR,Norway,1839,1495.0,1233.0,1843335.0,13.0
CHL,Chile,1839,1023.0,1159.0,1185657.0,14.0
AUS,Australia,1839,1733.0,403.0,698399.0,15.0
CHN,China,1840,849.0,412000.0,349788000.0,1.0
GBR,United Kingdom,1840,4018.0,26745.0,107461410.0,2.0
FRA,France,1840,2275.752370929545,34900.0,79423757.74544112,3.0
DEU,Germany,1840,2163.846067239809,31126.0,67351872.6889063,4.0
USA,United States,1840,3319.4192000000003,17444.0,57903948.5248,5.0
ITA,Italy,1840,2513.0331979102257,22939.0,57646468.526862666,6.0
ESP,Spain,1840,1656.2968016065238,13937.0,23083808.52399012,7.0
IDN,Indonesia,1840,883.0,21153.0,18678099.0,8.0
NLD,Netherlands,1840,3623.0,2886.0,10455978.0,9.0
AUT,Austria,1840,2415.0,3716.0,8974140.0,10.0
PRT,Portugal,1840,1502.783535799,3704.0,5566310.216599496,11.0
GRC,Greece,1840,1932.0,2777.0,5365164.0,12.0
SWE,Sweden,1840,1568.0,3123.0,4896864.0,13.0
CAN,Canada,1840,1852.0,1697.0,3142844.0,14.0
DNK,Denmark,1840,2276.0,1357.0,3088532.0,15.0
IND,India,1841,944.0,227418.0,214682592.0,1.0
GBR,United Kingdom,1841,3894.0,27004.0,105153576.0,2.0
FRA,France,1841,2320.7622888219616,35059.0,81363605.08380915,3.0
DEU,Germany,1841,2230.648490370499,31475.0,70209661.23441146,4.0
USA,United States,1841,3252.568,18056.0,58728367.808000006,5.0
ITA,Italy,1841,2514.093102253503,23087.0,58042867.45172662,6.0
ESP,Spain,1841,1659.37859170665,14030.0,23281081.6416443,7.0
IDN,Indonesia,1841,877.0,21328.0,18704656.0,8.0
NLD,Netherlands,1841,3658.0,2921.0,10685018.0,9.0
PRT,Portugal,1841,1474.49870456525,3715.0,5477762.687459904,10.0
GRC,Greece,1841,1918.0,2803.0,5376154.0,11.0
SWE,Sweden,1841,1549.0,3156.0,4888644.0,12.0
DNK,Denmark,1841,2254.0,1371.0,3090234.0,13.0
NOR,Norway,1841,1592.0,1254.0,1996368.0,14.0
CHL,Chile,1841,1081.0,1203.0,1300443.0,15.0
GBR,United Kingdom,1842,3808.0,27277.0,103870816.0,1.0
FRA,France,1842,2259.9558002859453,35218.0,79591123.37447043,2.0
DEU,Germany,1842,2192.6576886385583,31787.0,69698009.94875385,3.0
USA,United States,1842,3222.9992,18667.0,60163726.06640001,4.0
ITA,Italy,1842,2506.6737718505624,23236.0,58245071.76271967,5.0
ESP,Spain,1842,1605.1042365201079,14123.0,22668887.132373482,6.0
IDN,Indonesia,1842,878.0,21506.0,18882268.0,7.0
NLD,Netherlands,1842,3569.0,2952.0,10535688.0,8.0
PRT,Portugal,1842,1518.9521755590001,3726.0,5659615.806132834,9.0
GRC,Greece,1842,1959.0,2829.0,5542011.0,10.0
SWE,Sweden,1842,1476.0,3190.0,4708440.0,11.0
DNK,Denmark,1842,2243.0,1385.0,3106555.0,12.0
NOR,Norway,1842,1580.0,1271.0,2008180.0,13.0
CHL,Chile,1842,1089.0,1225.0,1334025.0,14.0
AUS,Australia,1842,1704.0,465.0,792360.0,15.0
GBR,United Kingdom,1843,3950.0,27511.0,108668450.0,1.0
FRA,France,1843,2369.6715631170723,35378.0,83834240.55995579,2.0
DEU,Germany,1843,2102.563955687509,32086.0,67462867.08218941,3.0
USA,United States,1843,3274.4232,19279.0,63127604.8728,4.0
ITA,Italy,1843,2507.7336761938395,23385.0,58643352.01779294,5.0
ESP,Spain,1843,1604.589926663245,14217.0,22812454.987371355,6.0
IDN,Indonesia,1843,861.0,21684.0,18669924.0,7.0
NLD,Netherlands,1843,3507.0,2981.0,10454367.0,8.0
PRT,Portugal,1843,1537.7979092612502,3738.0,5748288.584818553,9.0
SWE,Sweden,1843,1508.0,3221.0,4857268.0,10.0
GRC,Greece,1843,1653.0,2855.0,4719315.0,11.0
DNK,Denmark,1843,2353.0,1392.0,3275376.0,12.0
NOR,Norway,1843,1521.0,1286.0,1956006.0,13.0
CHL,Chile,1843,1111.0,1248.0,1386528.0,14.0
AUS,Australia,1843,1975.0,472.0,932200.0,15.0
GBR,United Kingdom,1844,4245.0,27785.0,117947325.0,1.0
FRA,France,1844,2444.2429270081725,35539.0,86865949.38294344,2.0
DEU,Germany,1844,2139.2788119154698,32394.0,69299797.83318973,3.0
USA,United States,1844,3453.1216000000004,19890.0,68682588.62400001,4.0
ITA,Italy,1844,2540.5907108354327,23536.0,59795342.97022274,5.0
ESP,Spain,1844,1556.114732976872,14312.0,22271114.05836499,6.0
IDN,Indonesia,1844,832.0,21864.0,18190848.0,7.0
NLD,Netherlands,1844,3540.0,3014.0,10669560.0,8.0
PRT,Portugal,1844,1636.23739461,3749.0,6134253.992392889,9.0
SWE,Sweden,1844,1573.0,3256.0,5121688.0,10.0
GRC,Greece,1844,1602.0,2881.0,4615362.0,11.0
DNK,Denmark,1844,2434.0,1414.0,3441676.0,12.0
NOR,Norway,1844,1567.0,1302.0,2040234.0,13.0
CHL,Chile,1844,1117.0,1271.0,1419707.0,14.0
AUS,Australia,1844,2246.0,482.0,1082572.0,15.0
GBR,United Kingdom,1845,4387.0,28040.0,123011480.0,1.0
FRA,France,1845,2358.924444045439,35700.0,84213602.65242217,2.0
USA,United States,1845,3505.8312,20503.0,71880057.0936,3.0
DEU,Germany,1845,2158.173960846913,32743.0,70665090.00001048,4.0
ITA,Italy,1845,2542.7105195219874,23687.0,60229184.07591732,5.0
ESP,Spain,1845,1628.6226088168066,14407.0,23463565.925223734,6.0
IDN,Indonesia,1845,783.0,22046.0,17262018.0,7.0
NLD,Netherlands,1845,3515.0,3047.0,10710205.0,8.0
PRT,Portugal,1845,1633.9173163950002,3760.0,6143529.109645201,9.0
SWE,Sweden,1845,1610.0,3296.0,5306560.0,10.0
GRC,Greece,1845,1543.0,2908.0,4487044.0,11.0
DNK,Denmark,1845,2472.0,1430.0,3534960.0,12.0
NOR,Norway,1845,1631.0,1319.0,2151289.0,13.0
CHL,Chile,1845,1141.0,1293.0,1475313.0,14.0
AUS,Australia,1845,2310.0,494.0,1141140.0,15.0
GBR,United Kingdom,1846,4334.0,28272.0,122530848.0,1.0
FRA,France,1846,2356.3036969350965,35829.0,84424005.15748757,2.0
USA,United States,1846,3526.4008000000003,21114.0,74456426.4912,3.0
DEU,Germany,1846,2086.6536255179967,33059.0,68982682.20599945,4.0
ITA,Italy,1846,2538.470902148879,23840.0,60517146.30722927,5.0
JPN,Japan,1846,1435.77,31865.0,45750811.05,6.0
ESP,Spain,1846,1656.5986154259497,14503.0,24025649.719522547,7.0
IDN,Indonesia,1846,759.0,22229.0,16871811.0,8.0
BEL,Belgium,1846,2700.0,4296.0,11599200.0,9.0
NLD,Netherlands,1846,3521.0,3069.0,10805949.0,10.0
PRT,Portugal,1846,1524.3385313065,3771.0,5748280.6015568115,11.0
SWE,Sweden,1846,1554.0,3330.0,5174820.0,12.0
GRC,Greece,1846,1691.0,2934.0,4961394.0,13.0
DNK,Denmark,1846,2501.0,1444.0,3611444.0,14.0
NOR,Norway,1846,1619.0,1337.0,2164603.0,15.0
GBR,United Kingdom,1847,4234.0,28118.0,119051612.0,1.0
FRA,France,1847,2606.6997415565243,35959.0,93734316.00663106,2.0
USA,United States,1847,3618.9640000000004,21726.0,78625611.86400001,3.0
DEU,Germany,1847,2064.508279360445,33231.0,68605674.63142696,4.0
ITA,Italy,1847,2536.3510934623246,23993.0,60854671.785441555,5.0
ESP,Spain,1847,1592.762947464666,14600.0,23254339.032984123,6.0
IDN,Indonesia,1847,748.0,22414.0,16765672.0,7.0
BEL,Belgium,1847,2809.0,4333.0,12171397.0,8.0
NLD,Netherlands,1847,3545.0,3071.0,10886695.0,9.0
SWE,Sweden,1847,1594.0,3352.0,5343088.0,10.0
PRT,Portugal,1847,1409.71562206475,3783.0,5332954.19827095,11.0
GRC,Greece,1847,1441.0,2961.0,4266801.0,12.0
DNK,Denmark,1847,2466.0,1456.0,3590496.0,13.0
NOR,Norway,1847,1670.0,1351.0,2256170.0,14.0
CHL,Chile,1847,1183.0,1339.0,1584037.0,15.0
GBR,United Kingdom,1848,4361.0,27683.0,120725563.0,1.0
FRA,France,1848,2437.9537865141847,36089.0,87983314.20151041,2.0
USA,United States,1848,3712.8128,22337.0,82933099.5136,3.0
DEU,Germany,1848,2202.5587718673514,33289.0,73320978.95669226,4.0
ITA,Italy,1848,2536.3510934623246,24148.0,61247806.20492821,5.0
ESP,Spain,1848,1615.9254219354177,14697.0,23749255.926184833,6.0
IDN,Indonesia,1848,775.0,22600.0,17515000.0,7.0
BEL,Belgium,1848,2796.0,4371.0,12221316.0,8.0
NLD,Netherlands,1848,3602.0,3069.0,11054538.0,9.0
PRT,Portugal,1848,1496.48281321175,3794.0,5677655.7933253795,10.0
SWE,Sweden,1848,1612.0,3380.0,5448560.0,11.0
GRC,Greece,1848,1554.0,2989.0,4644906.0,12.0
DNK,Denmark,1848,2570.0,1470.0,3777900.0,13.0
NOR,Norway,1848,1533.0,1363.0,2089479.0,14.0
AUS,Australia,1848,3381.0,538.0,1818978.0,15.0
GBR,United Kingdom,1849,4422.0,27429.0,121291038.0,1.0
FRA,France,1849,2505.5587392369453,36219.0,90748831.97642292,2.0
USA,United States,1849,3616.3928,22950.0,82996214.76,3.0
DEU,Germany,1849,2288.2742293073684,33452.0,76547349.51879008,4.0
ITA,Italy,1849,2538.470902148879,24303.0,61692458.334924206,5.0
ESP,Spain,1849,1638.2705798252298,14795.0,24238213.228514276,6.0
IDN,Indonesia,1849,746.0,22788.0,16999848.0,7.0
BEL,Belgium,1849,2853.0,4408.0,12576024.0,8.0
NLD,Netherlands,1849,3709.0,3076.0,11408884.0,9.0
PRT,Portugal,1849,1520.168077337,3804.0,5782719.366189948,10.0
SWE,Sweden,1849,1672.0,3419.0,5716568.0,11.0
GRC,Greece,1849,1591.0,3016.0,4798456.0,12.0
DNK,Denmark,1849,2695.0,1484.0,3999380.0,13.0
NOR,Norway,1849,1559.0,1377.0,2146743.0,14.0
AUS,Australia,1849,3339.0,576.0,1923264.0,15.0
CHN,China,1850,858.0,412000.0,353496000.0,1.0
IND,India,1850,947.0,235800.0,223302600.0,2.0
GBR,United Kingdom,1850,4332.0,27181.0,117748092.0,3.0
FRA,France,1850,2545.027508542817,36350.0,92511749.9355314,4.0
USA,United States,1850,3631.82,23580.0,85638315.60000001,5.0
DEU,Germany,1850,2276.0,33746.0,76805896.0,6.0
ITA,Italy,1850,2540.590710835433,24460.0,62142848.7870347,7.0
JPN,Japan,1850,1436.0,32000.0,45952000.0,8.0
ESP,Spain,1850,1702.9349264460188,14894.0,25363512.794487003,9.0
IDN,Indonesia,1850,724.0,22977.0,16635348.0,10.0
CSK,Czechoslovakia,1850,1720.0,9250.0,15910000.0,11.0
BEL,Belgium,1850,2944.0,4449.0,13097856.0,12.0
POL,Poland,1850,985.0,13000.0,12805000.0,13.0
NLD,Netherlands,1850,3779.0,3098.0,11707342.0,14.0
AUT,Austria,1850,2630.0,3950.0,10388500.0,15.0
IND,India,1851,947.0,236632.0,224090504.0,1.0
GBR,United Kingdom,1851,4477.0,26945.0,120632765.0,2.0
USA,United States,1851,3778.3784,24405.0,92211324.852,3.0
FRA,France,1851,2498.842933227564,36479.0,91155291.3612083,4.0
DEU,Germany,1851,2244.0,34055.0,76419420.0,5.0
ITA,Italy,1851,2542.710519521988,24617.0,62593904.859072775,6.0
ESP,Spain,1851,1718.4222194727763,14974.0,25731654.31438535,7.0
IDN,Indonesia,1851,744.0,23243.0,17292792.0,8.0
BEL,Belgium,1851,3006.0,4477.0,13457862.0,9.0
NLD,Netherlands,1851,3834.0,3133.0,12011922.0,10.0
GRC,Greece,1851,1969.0,3072.0,6048768.0,11.0
SWE,Sweden,1851,1682.0,3500.0,5887000.0,12.0
CHE,Switzerland,1851,2444.226102399877,2399.0,5863698.419657305,13.0
DNK,Denmark,1851,2649.0,1517.0,4018533.0,14.0
AUS,Australia,1851,3736.0,636.0,2376096.0,15.0
GBR,United Kingdom,1852,4626.0,27076.0,125253576.0,1.0
USA,United States,1852,3971.2184,25231.0,100197811.45040001,2.0
FRA,France,1852,2652.939920416003,36609.0,97121477.54650946,3.0
DEU,Germany,1852,2273.0,34290.0,77941170.0,4.0
ITA,Italy,1852,2540.5907108354336,24776.0,62945675.4516587,5.0
ESP,Spain,1852,1783.8384904908464,15055.0,26855688.474339694,6.0
IDN,Indonesia,1852,717.0,23512.0,16858104.0,7.0
BEL,Belgium,1852,3067.0,4506.0,13819902.0,8.0
NLD,Netherlands,1852,3790.0,3167.0,12002930.0,9.0
CHE,Switzerland,1852,2445.8521766458753,2406.0,5884720.337009976,10.0
SWE,Sweden,1852,1645.0,3529.0,5805205.0,11.0
GRC,Greece,1852,1663.0,3100.0,5155300.0,12.0
DNK,Denmark,1852,2713.0,1536.0,4167168.0,13.0
AUS,Australia,1852,4382.0,710.0,3111220.0,14.0
NOR,Norway,1852,1686.0,1425.0,2402550.0,15.0
GBR,United Kingdom,1853,4734.0,27248.0,128992032.0,1.0
USA,United States,1853,4242.4800000000005,26157.0,110970549.36000001,2.0
FRA,France,1853,2515.0432197259547,36739.0,92400172.84951185,3.0
DEU,Germany,1853,2252.0,34422.0,77518344.0,4.0
ITA,Italy,1853,2549.069945581651,24935.0,63561059.09307847,5.0
ESP,Spain,1853,1783.8340434892614,15136.0,27000112.08225346,6.0
IDN,Indonesia,1853,743.0,23784.0,17671512.0,7.0
BEL,Belgium,1853,3127.0,4534.0,14177818.0,8.0
NLD,Netherlands,1853,3704.0,3194.0,11830576.0,9.0
SWE,Sweden,1853,1667.0,3552.0,5921184.0,10.0
CHE,Switzerland,1853,2379.279470616205,2412.0,5738822.083126286,11.0
GRC,Greece,1853,1822.0,3129.0,5701038.0,12.0
DNK,Denmark,1853,2697.0,1552.0,4185744.0,13.0
AUS,Australia,1853,4798.0,795.0,3814410.0,14.0
NOR,Norway,1853,1776.0,1440.0,2557440.0,15.0
GBR,United Kingdom,1854,4909.0,27446.0,134732414.0,1.0
USA,United States,1854,4254.0504,26882.0,114357382.8528,2.0
FRA,France,1854,2626.968253548038,36869.0,96853692.5400626,3.0
DEU,Germany,1854,2300.0,34531.0,79421300.0,4.0
ITA,Italy,1854,2548.010041238374,25096.0,63944859.994918235,5.0
ESP,Spain,1854,1801.455539337808,15217.0,27412748.942103423,6.0
IDN,Indonesia,1854,711.0,24059.0,17105949.0,7.0
BEL,Belgium,1854,3300.0,4563.0,15057900.0,8.0
NLD,Netherlands,1854,3931.0,3218.0,12649958.0,9.0
SWE,Sweden,1854,1685.0,3586.0,6042410.0,10.0
GRC,Greece,1854,1908.0,3158.0,6025464.0,11.0
CHE,Switzerland,1854,2263.8065391078785,2427.0,5494258.470414821,12.0
DNK,Denmark,1854,2679.0,1569.0,4203351.0,13.0
AUS,Australia,1854,4202.0,887.0,3727174.0,14.0
NOR,Norway,1854,1859.0,1457.0,2708563.0,15.0
GBR,United Kingdom,1855,4748.0,27697.0,131505356.0,1.0
USA,United States,1855,4161.4872000000005,27708.0,115306487.33760001,2.0
FRA,France,1855,2577.990726478919,37000.0,95385656.87972,3.0
DEU,Germany,1855,2263.0,34586.0,78268118.0,4.0
ITA,Italy,1855,2570.268032447195,25257.0,64917259.6955188,5.0
ESP,Spain,1855,1889.0897789839562,15299.0,28901184.528675545,6.0
