player,detail,peak_date,birth_year,gender
Martina Hellmann,Gold,1988,1960,F
Diana Gansky,Silver,1988,1963,F
Tsvetanka Khristova,Bronze,1988,1962,F
Maritza Martén,Gold,1992,1963,F
Tsvetanka Khristova,Silver,1992,1962,F
Daniela Costian,Bronze,1992,1965,F
Ilke Wyludda,Gold,1996,1969,F
Natalya Sadova,Silver,1996,1972,F
Ellina Zvereva,Bronze,1996,1960,F
Ellina Zvereva,Gold,2000,1960,F
Anastasia Kelesidou,Silver,2000,1972,F
Iryna Yatchenko,Bronze,2000,1965,F
Natalya Sadova,Gold,2004,1972,F
Anastasia Kelesidou,Silver,2004,1972,F
Věra Pospíšilová-Cechlová,Bronze,2004,1978,F
Stephanie Brown Trafton,Gold,2008,1979,F
Olena Antonova,Silver,2008,1972,F
Song Aimin,Bronze,2008,1978,F
Sandra Perković,Gold,2012,1990,F
Li Yanfeng,Silver,2012,1979,F
Yarelys Barrios,Bronze,2012,1983,F
Sandra Perković,Gold,2016,1990,F
Mélina Robert-Michon,Silver,2016,1979,F
Denia Caballero,Bronze,2016,1990,F
Valarie Allman,Gold,2020,1995,F
Kristin Pudenz,Silver,2020,1993,F
Yaime Pérez,Bronze,2020,1991,F
Valarie Allman,Gold,2024,1995,F
Feng Bin,Silver,2024,1994,F
Sandra Elkasević,Bronze,2024,1990,F
