player,detail,peak_date,birth_year,gender
Igor Lysyj,2700,2015-01,1987,M
Judit Polgár,2735,2005-07,1976,F
Hou Yifan,2686,2015-03,1994,F
Koneru Humpy,2623,2009-07,1987,F
Aleksandra Goryachkina,2611,2021-08,1998,F
Anna Muzychuk,2606,2012-07,1990,F
Ju Wenjun,2604,2017-03,1991,F
Tatiana Kosintseva,2581,2010-11,1986,F
Zhao Xue,2579,2013-09,1985,F
Susan Polgar,2577,2005-01,1969,F
Nadezhda Kosintseva,2576,2010-11,1985,F
Xie Jun,2574,2008-01,1970,F
Nana Dzagnidze,2573,2015-06,1987,F
Mariya Muzychuk,2563,2016-03,1992,F
Kateryna Lagno,2563,2022-10,1989,F
Alexandra Kosteniuk,2561,2018-01,1984,F
Maia Chiburdanidze,2560,1988-01,1961,F
Alisa Galliamova,2560,1998-07,1972,F
Antoaneta Stefanova,2560,2003-01,1979,F
Lei Tingjie,2554,2023-05,1997,F
Tan Zhongyi,2551,2024-09,1991,F
Pia Cramling,2550,2008-10,1963,F
Zhu Chen,2548,2008-01,1976,F
Valentina Gunina,2548,2015-06,1989,F
Harika Dronavalli,2543,2016-11,1991,F
Viktorija Čmilytė-Nielsen,2542,2017-06,1983,F
Anna Zatonskih,2537,2011-05,1978,F
Marie Sebag,2537,2013-03,1986,F
Bella Khotenashvili,2531,2013-06,1988,F
Nino Batsiashvili,2528,2018-03,1987,F
Elina Danielian,2521,2011-07,1978,F
Nana Ioseliani,2520,1997-07,1962,F
Dinara Saduakassova,2519,2020-01,1996,F
Xu Yuhua,2517,2006-04,1976,F
Polina Shuvalova,2516,2021-12,2001,F
Elisabeth Pähtz,2513,2018-09,1985,F
Wang Lei,2512,2001-10,1975,F
Hoang Thanh Trang,2511,2013-11,1980,F
Natalia Pogonina,2508,2014-07,1985,F
Ekaterina Kovalevskaya,2507,2001-07,1974,F
Zhansaya Abdumalik,2507,2021-10,2000,F
Zhu Jiner,2507,2019-10,2002,F
Ketevan Arakhamia-Grant,2506,2009-07,1968,F
Wang Pin,2506,2000-10,1974,F
Rameshbabu Vaishali,2506,2024-08,2001,F
Sofia Polgar,2505,1998-07,1974,F
Monika Soćko,2505,2008-04,1978,F
Olga Girya,2505,2017-09,1991,F
Alina Kashlinskaya,2505,2022-06,1993,F
Lilit Mkrtchian,2503,2010-01,1982,F
Ruan Lufei,2503,2014-01,1987,F
Svetlana Matveeva,2502,2004-01,1969,F
Anna Ushenina,2502,2007-07,1985,F
Irina Krush,2502,2013-10,1983,F
Qin Kanying,2501,2000-07,1974,F
Almira Skripchenko,2501,2003-01,1976,F
Divya Deshmukh,2501,2024-10,2005,F
Lela Javakhishvili,2500,2010-03,1984,F
