player,detail,peak_date,birth_year,gender
Jolanda Čeplak,Bronze,2004,1976,F
Pamela Jelimo,Gold,2008,1989,F
Janeth Jepkosgei,Silver,2008,1983,F
Hasna Benhassi,Bronze,2008,1978,F
Caster Semenya,Gold,2012,1991,F
Ekaterina Poistogova,Silver,2012,1991,F
Pamela Jelimo,Bronze,2012,1989,F
Caster Semenya,Gold,2016,1991,F
Francine Niyonsaba,Silver,2016,1993,F
Margaret Wambui,Bronze,2016,1995,F
Athing Mu,Gold,2020,2002,F
Keely Hodgkinson,Silver,2020,2002,F
Raevyn Rogers,Bronze,2020,1996,F
Keely Hodgkinson,Gold,2024,2002,F
Tsige Duguma,Silver,2024,2001,F
Mary Moraa,Bronze,2024,2000,F
