Country,gdp_per_capita,Continent,is_west,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,_merge
Afghanistan,,,,,,,,,,,,,,right_only
Eritrea,,,,,,,,,,,,,,right_only
European Union,43350.0,Europe,True,,,,,,,,,,,left_only
Palestine,,,,,,,,,,,,,,right_only
Sri Lanka,,,,334.0,343.0,365.0,390.0,452.0,443.0,470.0,485.0,502.0,498.0,right_only
Syria,,,,1422.0,1763.0,1785.0,1849.0,1840.0,1965.0,2284.0,2823.0,1390.0,801.0,right_only
World,13900.0,World,False,,,,,,,,,,,left_only
