Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Micronesia,,,,,,,,,,
Moldova,,,,,,,,,,
Mongolia,,,,,,,,,,
Montenegro,,,,,,,,,,
Morocco,1225,969,954,842,752,742,957,1031,1193,1200
Mozambique,397,301,300,264,270,354,414,187,165,172
Myanmar,,,,,,,,,,
Namibia,,,,,,,,,,
Nauru,,,,,,,,,,
Nepal,144,165,163,174,180,183,195,198,228,225
Netherlands,13770,11446,11029,10697,9919,10022,13895,16919,17981,17622
New Zealand,7258,7515,7382,7075,6971,6954,8386,11207,13665,13080
Nicaragua,,,,,,,,,,
Niger,609,510,458,396,310,296,379,430,426,395
Nigeria,,,,,,,,,,
North Macedonia,,,,,,,,,,
Norway,15746,15485,15196,14906,14969,15728,18853,22445,24143,24246
Oman,5358,6020,6317,6148,6324,7026,5214,5145,5001,5279
Pakistan,479,550,584,530,560,545,544,553,621,631
Palau,,,,,,,,,,
Panama,2146,2372,2559,2567,2620,2710,2755,2708,2292,2251
Papua New Guinea,1381,1319,1223,1195,1080,976,1040,1160,1565,1455
Paraguay,1300,1608,1637,1763,1391,1154,1336,1085,1392,978
Peru,1151,1356,1316,999,1006,851,1248,2016,1560,1885
Philippines,774,830,843,736,678,646,615,667,744,817
Poland,1595,1498,1803,2057,2042,1900,1966,1691,1819,1772
Portugal,3339,3297,3095,2839,2596,2717,3775,4724,5533,5978
Puerto Rico,4507,4941,5147,5257,5777,6059,6495,6987,7579,8094
Qatar,27242,27820,22657,18004,17497,15496,11644,11773,10854,11040
Romania,2052,2450,2441,2125,1710,2102,2264,2518,2593,2315
Russia,,,,,,,,,,
Rwanda,293,321,330,339,317,365,399,428,443,447
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
São Tomé and Príncipe,776,931,876,800,813,838,1143,1112,923,892
Saudi Arabia,19543,20846,16508,13253,11688,9667,7699,7222,7083,7287
Senegal,768,678,645,560,530,563,773,902,866,828
Serbia,,,,,,,,,,
Seychelles,2329,2403,2294,2280,2338,2589,3166,3639,4128,4407
Sierra Leone,764,799,880,747,860,717,525,448,719,645
Singapore,5005,5672,6000,6718,7160,6788,6871,7795,9329,10726
Slovakia,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,793,813,783,712,691,611,529,541,598,570
Somalia,,,,,,,,,,
South Africa,3075,3123,2806,3063,2634,1955,2176,2801,2955,3004
South Sudan,,,,,,,,,,
Spain,6136,5389,5178,4507,4477,4701,6485,8198,9611,10579
Sri Lanka,334,343,365,390,452,443,470,485,502,498
Saint Kitts and Nevis,1342,1611,1846,1827,2140,2399,2838,3268,3901,4378
Saint Lucia,1373,1546,1439,1529,1923,2141,2520,2743,3097,3464
Saint Vincent and the Grenadines,903,1110,1227,1309,1435,1537,1686,1828,2078,2211
Sudan,487,339,240,319,375,253,329,517,405,696
Suriname,,,,,,,,,,
Sweden,16780,15308,13498,12399,12901,13471,17749,21504,24198,25265
Switzerland,19427,17700,18028,17865,17019,17188,24530,30521,32794,31440
Syria,1422,1763,1785,1849,1840,1965,2284,2823,1390,801
Taiwan,2367,2691,2675,2882,3203,3294,4008,5325,6338,7576
Tajikistan,,,,,,,,,,
Tanzania,603,699,778,773,682,597,732,350,325,271
Thailand,705,745,767,824,845,772,840,968,1161,1338
East Timor,,,,,,,,,,
Togo,707,568,462,426,378,384,522,594,642,612
Tonga,770,851,843,818,854,803,959,1037,1213,1461
Trinidad and Tobago,5848,6454,7393,6939,6831,6411,4121,4086,3799,3626
Tunisia,1483,1390,1310,1323,1287,1272,1312,1382,1412,1386
Turkey,2134,2113,1877,1753,1668,1835,1983,2261,2333,2708
Turkmenistan,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,665,1044,703,780,581,514,495,769,768,600
Ukraine,,,,,,,,,,
United Arab Emirates,41312,42237,36927,32717,29958,27913,21199,22346,19033,21142
United Kingdom,10735,10439,9936,9463,8951,9499,11556,14332,17389,17654
United States,12553,13949,14405,15514,17086,18199,19035,20001,21376,22814
Uruguay,4158,4609,3743,2042,1929,1873,2312,2877,2959,3101
Uzbekistan,,,,,,,,,,
Vanuatu,1054,956,931,932,1111,977,919,989,1092,1055
Venezuela,4671,5086,5042,4883,3447,3472,3489,2619,3293,2378
Vietnam,653,319,414,613,1044,319,706,857,465,123
Palestine,,,,,,,,,,
Yemen,,,,,,,,,,
Zambia,765,765,715,599,477,439,294,354,578,598
Zimbabwe,,,,,,,,,,
