Country,gdp_per_capita,Continent,is_west,Flag,Population
Ukraine,5505.0,Europe,True,🇺🇦,36740000
Iran,5300.0,Asia,False,🇮🇷,88683850
Micronesia,5120.0,Oceania,False,🇫🇲,116486
Samoa,5048.0,Oceania,False,🇼🇸,215052
Indonesia,4981.0,Asia,False,🇮🇩,276361783
Tonga,4858.0,Oceania,False,🇹🇴,108225
Cape Verde,4790.0,Africa,False,🇨🇻,593599
Jordan,4682.0,Asia,False,🇯🇴,11048024
Vietnam,4649.0,Asia,False,🇻🇳,99600310
Lebanon,4487.0,Asia,False,🇱🇧,5486745
Namibia,4410.0,Africa,False,🇳🇦,2538917
Eswatini,4375.0,Africa,False,🇸🇿,1216618
Tunisia,4267.0,Africa,False,🇹🇳,12629477
Morocco,4204.0,Africa,False,🇲🇦,38071287
Djibouti,4155.0,Africa,False,🇩🇯,1067651
Philippines,4154.0,Asia,False,🇵🇭,118147347
Bhutan,4068.0,Asia,False,🇧🇹,782455
Venezuela,4019.0,South America,False,🇻🇪,30770584
Bolivia,3920.0,South America,False,🇧🇴,12713735
Egypt,3542.0,Africa,False,🇪🇬,110228123
Honduras,3446.0,North America,False,🇭🇳,10363772
São Tomé and Príncipe,3425.0,Africa,False,🇸🇹,238812
Vanuatu,3387.0,Oceania,False,🇻🇺,333508
Uzbekistan,3051.0,Asia,False,🇺🇿,36624303
Angola,2961.0,Africa,False,🇦🇴,36871284
Nicaragua,2878.0,North America,False,🇳🇮,6937015
Cambodia,2744.0,Asia,False,🇰🇭,16938736
Ivory Coast,2720.0,Africa,False,🇨🇮,28648558
India,2698.0,Asia,False,🇮🇳,1428627663
Bangladesh,2625.0,Asia,False,🇧🇩,173707768
Papua New Guinea,2544.0,Oceania,False,🇵🇬,10131828
Kiribati,2455.0,Oceania,False,🇰🇮,125648
Congo,2384.0,Africa,False,🇨🇬,6279431
Mauritania,2376.0,Africa,False,🇲🇷,4769446
Ghana,2232.0,Africa,False,🇬🇭,34737269
Kyrgyzstan,2229.0,Asia,False,🇰🇬,6731837
Kenya,2218.0,Africa,False,🇰🇪,55554998
Solomon Islands,2209.0,Oceania,False,🇸🇧,740854
Haiti,2120.0,North America,False,🇭🇹,12237657
Zimbabwe,2114.0,Africa,False,🇿🇼,16150362
Laos,1945.0,Asia,False,🇱🇦,7691210
Cameroon,1821.0,Africa,False,🇨🇲,28583827
Senegal,1805.0,Africa,False,🇸🇳,18067670
Guinea,1652.0,Africa,False,🇬🇳,13963169
Comoros,1630.0,Africa,False,🇰🇲,865329
Pakistan,1588.0,Asia,False,🇵🇰,248261481
Benin,1510.0,Africa,False,🇧🇯,13607484
East Timor,1454.0,Asia,False,🇹🇱,1391293
Nepal,1381.0,Asia,False,🇳🇵,30575612
Ethiopia,1350.0,Africa,False,🇪🇹,127719825
Tajikistan,1276.0,Asia,False,🇹🇯,10626354
Zambia,1226.0,Africa,False,🇿🇲,20373819
Tanzania,1224.0,Africa,False,🇹🇿,67454879
Uganda,1187.0,Africa,False,🇺🇬,47703835
Myanmar,1179.0,Asia,False,🇲🇲,54507280
Guinea-Bissau,1106.0,Africa,False,🇬🇼,2187988
Lesotho,1062.0,Africa,False,🇱🇸,2292683
Togo,1051.0,Africa,False,🇹🇬,8701744
Chad,1013.0,Africa,False,🇹🇩,18823540
Gambia,989.0,Africa,False,🇬🇲,2722177
Rwanda,986.0,Africa,False,🇷🇼,14467997
Burkina Faso,908.0,Africa,False,🇧🇫,22875991
Mali,898.0,Africa,False,🇲🇱,24578325
Nigeria,877.0,Africa,False,🇳🇬,223804632
Sierra Leone,856.0,Africa,False,🇸🇱,9189792
Liberia,855.0,Africa,False,🇱🇷,5503604
Somalia,771.0,Africa,False,🇸🇴,18041815
DR Congo,702.0,Africa,False,🇨🇩,108407721
Niger,698.0,Africa,False,🇳🇪,28478351
Mozambique,645.0,Africa,False,🇲🇿,35277379
Sudan,606.0,Africa,False,🇸🇩,49446220
Madagascar,563.0,Africa,False,🇲🇬,29865747
Central African Republic,529.0,Africa,False,🇨🇫,5481790
Yemen,465.0,Asia,False,🇾🇪,33812252
Malawi,464.0,Africa,False,🇲🇼,21164628
South Sudan,341.0,Africa,False,🇸🇸,12924732
Burundi,321.0,Africa,False,🇧🇮,13306768
