cause_level_one,cause_level_two,cause_level_three,cause_level_four,Total ,Male - Total,Female - Total,Male - 0-28 days,Male - 1-59 months,Male - 5-14 years,Male - 15-29 years,Male - 30-49 years,Male - 50-59 years,Male - 60-69 years,Male - 70+ years,Female - 0-28 days,Female - 1-59 months,Female - 5-14 years,Female - 15-29 years,Female - 30-49 years,Female - 50-59 years,Female - 60-69 years,Female - 70+ years
Noncommunicable diseases,Congenital anomalies,Other congenital anomalies,Other congenital anomalies,1353490,727070,626419,227313,180617,71969,76344,85469,36863,28236,20260,170866,135930,66532,72270,83587,38365,32195,26676
Noncommunicable diseases,Oral conditions,Dental caries,Dental caries,346279,172938,173341,0,4109,17217,37381,55542,24070,18654,15966,0,3760,16884,35197,51668,24164,20436,21232
Noncommunicable diseases,Oral conditions,Periodontal disease,Periodontal disease,1143676,584660,559016,0,0,0,23341,197499,149342,116426,98052,0,0,0,19003,168375,138038,115071,118529
Noncommunicable diseases,Oral conditions,Edentulism,Edentulism,2701939,1110577,1591362,0,0,0,14066,136461,186147,292790,481112,0,0,0,14515,139463,210922,396050,830413
Noncommunicable diseases,Oral conditions,Other oral disorders,Other oral disorders,693160,316403,376757,0,10817,19338,57043,103785,51348,42257,31815,0,10124,21345,64928,119721,61825,51511,47303
Noncommunicable diseases,Sudden infant death syndrome,Sudden infant death syndrome,Sudden infant death syndrome,219806,126889,92917,3407,123363,55,21,19,0,20,6,2977,89934,0,0,0,0,0,5
Injuries,Unintentional injuries,Road injury,Road injury,5978775,4196989,1781786,1006,40947,98941,1057942,1457196,671049,478137,391772,657,33584,67463,374768,506115,258039,238447,302712
Injuries,Unintentional injuries,Poisonings,Poisonings,329057,195418,133640,230,5831,9199,39314,78030,28041,19454,15318,189,4901,8837,25216,42105,18716,15382,18294
Injuries,Unintentional injuries,Falls,Falls,9307944,4754699,4553245,685,24535,81655,398029,1126522,761511,807958,1553803,511,20725,70606,231633,641664,512903,677874,2397329
Injuries,Unintentional injuries,"Fire, heat and hot substances","Fire, heat and hot substances",892529,501547,390982,238,15292,18712,57227,157108,94056,81349,77565,228,13709,15749,39008,107323,65713,64274,84977
Injuries,Unintentional injuries,Drowning,Drowning,716543,520490,196053,297,38942,34393,123081,135296,59859,55403,73220,227,23793,14527,21798,31585,18624,21839,63660
Injuries,Unintentional injuries,Exposure to mechanical forces,Exposure to mechanical forces,2569092,1880083,689009,324,13694,51296,254763,609868,344019,303077,303041,331,9962,24490,71164,174209,112801,119752,176301
Injuries,Unintentional injuries,Natural disasters,Natural disasters,19049,11741,7308,17,481,1093,2527,3443,1529,1241,1410,13,470,836,1179,1705,859,842,1404
Injuries,Unintentional injuries,Other unintentional injuries,Other unintentional injuries,4935729,2900711,2035017,8241,104030,71431,342371,752432,456980,451254,713973,6598,85743,57473,160175,385090,269713,304266,765960
Injuries,Intentional injuries,Self-harm,Self-harm,6510251,4857662,1652589,0,0,44060,1279848,1927691,811523,460976,333565,0,0,29132,385895,614879,298952,173086,150645
Injuries,Intentional injuries,Interpersonal violence,Interpersonal violence,2069312,1525272,544040,13,38266,36678,578903,545910,165597,95203,64702,13,35937,28330,153616,178200,61246,42016,44682
Injuries,Intentional injuries,Collective violence and legal intervention,Collective violence and legal intervention,95053,82751,12302,7,753,1105,28897,38072,8830,3644,1442,15,763,1124,2780,4455,1429,924,812
