country_search,Average Interest,Wikipedia Interest,Year
United Kingdom,6.3584905660377355,88.66037735849056,2024
Great Britain,5.528301886792453,88.66037735849056,2024
United States,20.264150943396228,10.056603773584905,2024
United States of America,6.679245283018868,88.66037735849056,2024
Afghanistan,10.981132075471699,88.66037735849056,2024
Albania,6.320754716981132,88.66037735849056,2024
Algeria,3.6226415094339623,88.66037735849056,2024
Andorra,1.7169811320754718,88.66037735849056,2024
Angola,5.132075471698113,88.66037735849056,2024
Antigua and Barbuda,0.4716981132075472,88.66037735849056,2024
Argentina,13.622641509433961,21.41509433962264,2024
Armenia,4.6415094339622645,88.66037735849056,2024
Australia,60.943396226415096,67.58490566037736,2024
Austria,13.264150943396226,88.66037735849056,2024
Azerbaijan,3.056603773584906,88.66037735849056,2024
Bahamas,29.132075471698112,88.66037735849056,2024
Bahrain,3.830188679245283,88.66037735849056,2024
Bangladesh,12.924528301886792,88.66037735849056,2024
Barbados,7.811320754716981,88.66037735849056,2024
Belarus,2.2830188679245285,88.66037735849056,2024
Belgium,13.075471698113208,88.66037735849056,2024
Belize,11.60377358490566,88.66037735849056,2024
Benin,1.7547169811320755,88.66037735849056,2024
Bhutan,1.9811320754716981,88.66037735849056,2024
Bolivia,10.18867924528302,88.66037735849056,2024
Bosnia and Herzegovina,0.33962264150943394,88.66037735849056,2024
Botswana,1.9811320754716981,88.66037735849056,2024
Brazil,35.75471698113208,51.075471698113205,2024
Brunei,1.3584905660377358,88.66037735849056,2024
Bulgaria,4.339622641509434,88.66037735849056,2024
Burkina Faso,1.150943396226415,88.66037735849056,2024
Burundi,1.0,88.66037735849056,2024
Ivory Coast,1.7169811320754718,88.66037735849056,2024
Cabo Verde,0.7924528301886793,88.66037735849056,2024
Cambodia,5.30188679245283,88.66037735849056,2024
Cameroon,3.0943396226415096,88.66037735849056,2024
Canada,47.698113207547166,25.07547169811321,2024
Central African Republic,0.1320754716981132,88.66037735849056,2024
Chad,31.471698113207548,88.66037735849056,2024
Chile,33.54716981132076,88.66037735849056,2024
China,85.71698113207547,44.905660377358494,2024
Colombia,19.528301886792452,22.0,2024
Comoros,0.05660377358490566,88.66037735849056,2024
Republic of the Congo,0.39622641509433965,88.66037735849056,2024
Costa Rica,39.35849056603774,85.52830188679245,2024
Croatia,11.320754716981131,88.66037735849056,2024
Cuba,31.754716981132077,88.66037735849056,2024
Cyprus,5.490566037735849,88.66037735849056,2024
Czech Republic,3.30188679245283,88.66037735849056,2024
DR Congo,0.18867924528301888,88.66037735849056,2024
Denmark,13.528301886792454,88.66037735849056,2024
Djibouti,1.0188679245283019,88.66037735849056,2024
Dominica,2.2264150943396226,88.66037735849056,2024
Dominican Republic,19.30188679245283,88.66037735849056,2024
Ecuador,13.037735849056604,44.18867924528302,2024
Egypt,34.43396226415094,88.66037735849056,2024
El Salvador,26.339622641509433,88.66037735849056,2024
Equatorial Guinea,1.0754716981132075,88.66037735849056,2024
Eritrea,1.3962264150943395,88.66037735849056,2024
Estonia,3.018867924528302,88.66037735849056,2024
Swaziland,0.018867924528301886,88.66037735849056,2024
Ethiopia,6.773584905660377,88.66037735849056,2024
Fiji,8.962264150943396,88.66037735849056,2024
Finland,8.452830188679245,88.66037735849056,2024
France,33.301886792452834,26.867924528301888,2024
Gabon,1.0943396226415094,88.66037735849056,2024
Gambia,1.2452830188679245,88.66037735849056,2024
Georgia,53.62264150943396,14.39622641509434,2024
Germany,54.15094339622642,62.924528301886795,2024
Ghana,12.88679245283019,88.66037735849056,2024
Greece,42.39622641509434,88.66037735849056,2024
Grenada,6.09433962264151,88.66037735849056,2024
Guatemala,33.905660377358494,88.66037735849056,2024
Guinea,19.735849056603772,88.66037735849056,2024
Guinea-Bissau,0.03773584905660377,88.66037735849056,2024
Guyana,6.264150943396227,88.66037735849056,2024
Haiti,15.679245283018869,88.66037735849056,2024
Vatican City,1.2264150943396226,88.66037735849056,2024
Honduras,25.150943396226417,85.05660377358491,2024
Hungary,7.018867924528302,88.66037735849056,2024
Iceland,24.58490566037736,88.66037735849056,2024
India,56.58490566037736,28.30188679245283,2024
Indonesia,20.0,88.66037735849056,2024
Iran,14.075471698113208,29.92452830188679,2024
Iraq,11.679245283018869,88.66037735849056,2024
Ireland,48.905660377358494,88.66037735849056,2024
Israel,29.547169811320753,23.07547169811321,2024
Italy,62.943396226415096,53.15094339622642,2024
Jamaica,36.83018867924528,65.0754716981132,2024
Japan,46.75471698113208,28.37735849056604,2024
Jordan,68.0,24.056603773584907,2024
Kazakhstan,3.3207547169811322,88.66037735849056,2024
Kenya,15.471698113207546,88.66037735849056,2024
Kiribati,1.2264150943396226,88.66037735849056,2024
Kuwait,4.811320754716981,91.16981132075472,2024
Kyrgyzstan,1.1132075471698113,91.16981132075472,2024
Laos,3.660377358490566,91.16981132075472,2024
Latvia,2.2452830188679247,91.16981132075472,2024
Lebanon,42.43396226415094,91.16981132075472,2024
Lesotho,1.0377358490566038,91.16981132075472,2024
Liberia,4.0754716981132075,91.16981132075472,2024
Libya,1.8679245283018868,91.16981132075472,2024
Liechtenstein,1.0943396226415094,91.16981132075472,2024
Lithuania,3.0,91.16981132075472,2024
Luxembourg,4.0,91.16981132075472,2024
Madagascar,11.018867924528301,91.16981132075472,2024
Malawi,1.528301886792453,91.16981132075472,2024
Malaysia,11.377358490566039,91.16981132075472,2024
Maldives,7.7924528301886795,91.16981132075472,2024
Mali,4.3584905660377355,91.16981132075472,2024
Malta,8.641509433962264,91.16981132075472,2024
Marshall Islands,1.169811320754717,91.16981132075472,2024
Mauritania,1.150943396226415,91.16981132075472,2024
Mauritius,2.509433962264151,91.16981132075472,2024
Mexico,61.301886792452834,17.58490566037736,2024
Micronesia,1.0377358490566038,91.16981132075472,2024
Moldova,2.169811320754717,91.16981132075472,2024
Monaco,14.132075471698114,91.16981132075472,2024
Mongolia,3.2830188679245285,91.16981132075472,2024
Montenegro,3.849056603773585,91.16981132075472,2024
Morocco,11.754716981132075,91.16981132075472,2024
Mozambique,1.7547169811320755,91.16981132075472,2024
Myanmar,5.377358490566038,91.16981132075472,2024
Namibia,2.1320754716981134,91.16981132075472,2024
Nauru,0.5471698113207547,91.16981132075472,2024
Nepal,9.320754716981131,91.16981132075472,2024
Netherlands,19.18867924528302,91.16981132075472,2024
New Zealand,27.50943396226415,91.16981132075472,2024
Nicaragua,11.452830188679245,91.16981132075472,2024
Niger,3.0943396226415096,91.16981132075472,2024
Nigeria,20.830188679245282,91.16981132075472,2024
North Korea,13.226415094339623,91.16981132075472,2024
North Macedonia,0.5660377358490566,91.16981132075472,2024
Norway,20.81132075471698,91.16981132075472,2024
Oman,3.4150943396226414,91.16981132075472,2024
Pakistan,27.943396226415093,91.16981132075472,2024
Palau,1.3396226415094339,91.16981132075472,2024
Palestine,31.264150943396228,91.16981132075472,2024
Panama,44.56603773584906,72.01886792452831,2024
Papua New Guinea,1.3962264150943395,91.16981132075472,2024
Paraguay,6.188679245283019,91.16981132075472,2024
Peru,39.64150943396226,91.16981132075472,2024
Philippines,43.45283018867924,91.16981132075472,2024
Poland,21.169811320754718,91.16981132075472,2024
Portugal,16.433962264150942,33.528301886792455,2024
Qatar,16.169811320754718,91.16981132075472,2024
Romania,8.679245283018869,91.16981132075472,2024
Russia,49.905660377358494,72.30188679245283,2024
Rwanda,3.981132075471698,91.16981132075472,2024
Saint Kitts and Nevis,0.018867924528301886,91.16981132075472,2024
Saint Lucia,1.3396226415094339,91.16981132075472,2024
Saint Vincent and the Grenadines,0.05660377358490566,91.16981132075472,2024
San Marino,2.30188679245283,91.16981132075472,2024
Sao Tome,0.05660377358490566,91.16981132075472,2024
Saudi Arabia,11.39622641509434,91.16981132075472,2024
Senegal,4.018867924528302,91.16981132075472,2024
Serbia,9.11320754716981,84.94339622641509,2024
Seychelles,2.2452830188679247,91.16981132075472,2024
Sierra Leone,2.0,91.16981132075472,2024
Singapore,33.301886792452834,91.16981132075472,2024
Slovakia,3.7169811320754715,91.16981132075472,2024
Slovenia,4.622641509433962,91.16981132075472,2024
Solomon Islands,0.5283018867924528,91.16981132075472,2024
Somalia,3.2641509433962264,91.16981132075472,2024
South Africa,25.28301886792453,91.16981132075472,2024
South Korea,13.867924528301886,70.24528301886792,2024
South Sudan,3.811320754716981,91.16981132075472,2024
Spain,32.924528301886795,39.679245283018865,2024
Sri Lanka,7.60377358490566,91.16981132075472,2024
Sudan,8.547169811320755,91.16981132075472,2024
Suriname,1.2264150943396226,91.16981132075472,2024
Sweden,16.62264150943396,91.16981132075472,2024
Switzerland,26.245283018867923,91.16981132075472,2024
Syria,6.7924528301886795,58.9622641509434,2024
Tajikistan,1.150943396226415,91.16981132075472,2024
Tanzania,4.886792452830188,91.16981132075472,2024
Thailand,28.264150943396228,91.16981132075472,2024
Timor-Leste,0.0,91.16981132075472,2024
Togo,3.7358490566037736,91.16981132075472,2024
Tonga,2.641509433962264,91.16981132075472,2024
Trinidad and Tobago,1.8867924528301887,91.16981132075472,2024
Tunisia,2.5849056603773586,91.16981132075472,2024
Turkey,8.773584905660377,4.9245283018867925,2024
Turkmenistan,1.169811320754717,91.16981132075472,2024
Tuvalu,0.7547169811320755,91.16981132075472,2024
Uganda,5.471698113207547,91.16981132075472,2024
Ukraine,50.094339622641506,81.37735849056604,2024
United Arab Emirates,1.0,91.16981132075472,2024
UK,70.09433962264151,43.79245283018868,2024
USA,39.056603773584904,6.9245283018867925,2024
Uruguay,7.7924528301886795,41.301886792452834,2024
